Raw Bug ID,Original Source,Raw Title,Raw Module,Raw Wording
BUG-001,Code Audit / Legacy,Google login restricted to test users,AUTH,Observed issue in AUTH: Google login restricted to test users
BUG-002,Code Audit / Legacy,Password reset invalid token and redirect,AUTH,Observed issue in AUTH: Password reset invalid token and redirect
BUG-003,Code Audit / Legacy,Hide button spacing issue,ONBOARDING,Observed issue in ONBOARDING: Hide button spacing issue
BUG-004,Code Audit / Legacy,Improper error message on future DOB,ONBOARDING,Observed issue in ONBOARDING: Improper error message on future DOB
BUG-005,Code Audit / Legacy,Mobile verification uses static code 1234,ONBOARDING,Observed issue in ONBOARDING: Mobile verification uses static code 1234
BUG-006,Code Audit / Legacy,Duplicate save buttons in add family member form,FOUNDATION,Observed issue in FOUNDATION: Duplicate save buttons in add family member form
BUG-007,Code Audit / Legacy,Duplicate buttons shown after adding family member,FOUNDATION,Observed issue in FOUNDATION: Duplicate buttons shown after adding family member
BUG-008,Code Audit / Legacy,Email validation restricts domains to @gmail.com,FOUNDATION,Observed issue in FOUNDATION: Email validation restricts domains to @gmail.com
BUG-009,Code Audit / Legacy,Duplicate emails accepted for family members,FOUNDATION,Observed issue in FOUNDATION: Duplicate emails accepted for family members
BUG-010,Code Audit / Legacy,Multiple buttons displayed on education page,EDUCATION,Observed issue in EDUCATION: Multiple buttons displayed on education page
BUG-011,Code Audit / Legacy,Google Drive link redirects to Pehchaan instead of staying on page,EDUCATION,Observed issue in EDUCATION: Google Drive link redirects to Pehchaan instead of staying on page
BUG-012,Code Audit / Legacy,Education loan toggle status not saving to database,EDUCATION,Observed issue in EDUCATION: Education loan toggle status not saving to database
BUG-013,Code Audit / Legacy,Certificate does not move to new family member folder in Google Drive,EDUCATION,Observed issue in EDUCATION: Certificate does not move to new family member folder in Google Drive
BUG-014,Code Audit / Legacy,Education loan toggle missing in edit page,EDUCATION,Observed issue in EDUCATION: Education loan toggle missing in edit page
BUG-015,Code Audit / Legacy,Foundation card UI spacing issues on Rajya dashboard,FOUNDATION,Observed issue in FOUNDATION: Foundation card UI spacing issues on Rajya dashboard
BUG-016,Code Audit / Legacy,Reveal password button does nothing when clicked,KUNJI,Observed issue in KUNJI: Reveal password button does nothing when clicked
BUG-017,Code Audit / Legacy,Portal registration date accepts future dates,KUNJI,Observed issue in KUNJI: Portal registration date accepts future dates
BUG-018,Code Audit / Legacy,Premium amount pre-fill 0 appending,RAKSHA,Observed issue in RAKSHA: Premium amount pre-fill 0 appending
BUG-019,Code Audit / Legacy,Next due date accepts past dates,RAKSHA,Observed issue in RAKSHA: Next due date accepts past dates
BUG-020,Code Audit / Legacy,Document upload field missing in add policy form,RAKSHA,Observed issue in RAKSHA: Document upload field missing in add policy form
BUG-021,Code Audit / Legacy,Uploaded insurance document returns Drive file not found error,RAKSHA,Observed issue in RAKSHA: Uploaded insurance document returns Drive file not found error
BUG-022,Code Audit / Legacy,Multiple bank accounts marked as primary,KHATE,Observed issue in KHATE: Multiple bank accounts marked as primary
BUG-023,Code Audit / Legacy,Loan start date accepts future dates,RIN,Observed issue in RIN: Loan start date accepts future dates
BUG-024,Code Audit / Legacy,Document upload field missing in add loan form,RIN,Observed issue in RIN: Document upload field missing in add loan form
BUG-025,Code Audit / Legacy,Uploaded loan document returns Drive file not found error,RIN,Observed issue in RIN: Uploaded loan document returns Drive file not found error
BUG-026,Code Audit / Legacy,End date field missing in form but shown as N/A in view page,RIN,Observed issue in RIN: End date field missing in form but shown as N/A in view page
BUG-027,Code Audit / Legacy,Expense date accepts future dates,VYAYA,Observed issue in VYAYA: Expense date accepts future dates
BUG-028,Code Audit / Legacy,Recurring expense frequency not saving,VYAYA,Observed issue in VYAYA: Recurring expense frequency not saving
BUG-029,Code Audit / Legacy,Subscription last used future / renewal past dates accepted,VYAYA,Observed issue in VYAYA: Subscription last used future / renewal past dates accepted
