Relationship_ID,Constraint_Name,Child_Schema,Child_Table,Child_Column,Parent_Schema,Parent_Table,Parent_Column,Cardinality,On_Delete,On_Update,Child_Module,Parent_Module,Code_Usage_Evidence,Business_Relationship,Impact_If_Parent_Edited_or_Deleted,Confidence,Verification_Status
FK-001,activity_events_userId_fkey,public,activity_events,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Analytics / activity,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,activity_events.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-002,admin_audit_logs_adminUserId_fkey,public,admin_audit_logs,adminUserId,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,RESTRICT,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,admin_audit_logs.adminUserId references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Parent deletion is blocked while matching child rows exist; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-003,admin_sessions_adminUserId_fkey,public,admin_sessions,adminUserId,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,admin_sessions.adminUserId references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-004,asset_inventory_userId_fkey,public,asset_inventory,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Sampatti,Sthapana / Foundation and Auth,src/app/api/succession/assets/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,asset_inventory.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-005,balance_history_bankAccountId_fkey,public,balance_history,bankAccountId,public,bank_accounts,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Pravah / Khate,Pravah / Khate,src/app/api/bank/[id]/route.ts; src/app/api/bank/[id]/route.ts; src/app/api/nominee/assets/route.ts,balance_history.bankAccountId references bank_accounts.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-006,bank_accounts_userId_fkey,public,bank_accounts,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Pravah / Khate,Sthapana / Foundation and Auth,src/app/api/bank/[id]/route.ts; src/app/api/nominee/assets/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,bank_accounts.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-007,broadcasts_createdBy_fkey,public,broadcasts,createdBy,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,RESTRICT,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,broadcasts.createdBy references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Parent deletion is blocked while matching child rows exist; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-008,budget_plans_userId_fkey,public,budget_plans,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Vyaya,Sthapana / Foundation and Auth,src/lib/services/budgetService.ts; src/lib/services/notificationService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,budget_plans.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-009,calculation_parameter_history_changedBy_fkey,public,calculation_parameter_history,changedBy,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,RESTRICT,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,calculation_parameter_history.changedBy references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Parent deletion is blocked while matching child rows exist; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-010,calculation_parameter_history_parameterId_fkey,public,calculation_parameter_history,parameterId,public,calculation_parameters,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,calculation_parameter_history.parameterId references calculation_parameters.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
