Requirement ID,Requirement / Feature,PRD Section,Expected Behaviour,Implementation Evidence,Route / Screen Evidence,File Evidence,Database Evidence,Status,Gap Description,Confidence,Technical Question,Recommended Next Action
PRD-M01-001,Full Name,"MODULE 1: USER, FAMILY & PROFILE MANAGEMENT (Sthapana) > 1.1 User Profile","The application should capture or support full name, validate it, persist it to the authoritative store, and display it after save.","FoundationHub, Submodule1B, onboarding steps, familyService, educationService, and profile API provide profile/family/education paths. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD; PM_SCREEN_INVENTORY and PM_FIELD_INVENTORY list Foundation, Family, and Education screens. Evidence authority remains source/database unless a live observation is explicitly stated.",/foundation; /foundation/family; /foundation/education; /onboarding/name; /onboarding/dob; /onboarding/status; /onboarding/occupation,src/app/(dashboard)/foundation/page.tsx; src/app/(dashboard)/foundation/family/page.tsx; src/app/(dashboard)/foundation/education/page.tsx; src/app/api/profile/route.ts; src/app/api/family/route.ts; src/app/api/education/route.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,users; family_members; education; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Implemented,No material source-level gap found for this atomic field; live behavior still requires PM/WD confirmation.,Confirmed,Can WD/PM confirm that Full Name behaves in the live build exactly as the cited source path and identify its acceptance test?,Run and record a focused acceptance test for Full Name; then mark Verified if behavior matches the PRD.
PRD-M01-002,"DOB, Gender","MODULE 1: USER, FAMILY & PROFILE MANAGEMENT (Sthapana) > 1.1 User Profile","The application should capture or support dob, gender, validate it, persist it to the authoritative store, and display it after save.","FoundationHub, Submodule1B, onboarding steps, familyService, educationService, and profile API provide profile/family/education paths. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD; PM_SCREEN_INVENTORY and PM_FIELD_INVENTORY list Foundation, Family, and Education screens. Evidence authority remains source/database unless a live observation is explicitly stated.",/foundation; /foundation/family; /foundation/education; /onboarding/name; /onboarding/dob; /onboarding/status; /onboarding/occupation,src/app/(dashboard)/foundation/page.tsx; src/app/(dashboard)/foundation/family/page.tsx; src/app/(dashboard)/foundation/education/page.tsx; src/app/api/profile/route.ts; src/app/api/family/route.ts; src/app/api/education/route.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,users; family_members; education; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Partially Implemented,DOB has an onboarding/API path; gender is accepted by the profile API/schema but no user-facing capture screen was found.,Confirmed,"Which implementation is authoritative for DOB, Gender, and how should WD resolve this mismatch: DOB has an onboarding/API path; gender is accepted by the profile API/schema but no user-facing capture screen was found.","WD to close the cited gap for DOB, Gender; PM/DA to verify the completed workflow end to end."
PRD-M01-003,"PAN, Aadhaar (masked)","MODULE 1: USER, FAMILY & PROFILE MANAGEMENT (Sthapana) > 1.1 User Profile","The application should capture or support pan, aadhaar (masked), validate it, persist it to the authoritative store, and display it after save.","FoundationHub, Submodule1B, onboarding steps, familyService, educationService, and profile API provide profile/family/education paths. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD; PM_SCREEN_INVENTORY and PM_FIELD_INVENTORY list Foundation, Family, and Education screens. Evidence authority remains source/database unless a live observation is explicitly stated.",/foundation; /foundation/family; /foundation/education; /onboarding/name; /onboarding/dob; /onboarding/status; /onboarding/occupation,src/app/(dashboard)/foundation/page.tsx; src/app/(dashboard)/foundation/family/page.tsx; src/app/(dashboard)/foundation/education/page.tsx; src/app/api/profile/route.ts; src/app/api/family/route.ts; src/app/api/education/route.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,users; family_members; education; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Implemented Differently,PAN/Aadhaar capture and masking are implemented in Pehchaan identity_records rather than the Foundation user-profile flow; users.panMasked/aadhaarMasked have no Foundation write path.,Confirmed,"Which implementation is authoritative for PAN, Aadhaar (masked), and how should WD resolve this mismatch: PAN/Aadhaar capture and masking are implemented in Pehchaan identity_records rather than the Foundation user-profile flow; users.panMasked/aadhaarMasked have no Foundation write path.","PM/WD to choose the authoritative behavior and persistence path, document the decision, and add regression coverage."
PRD-M01-004,Mobile Numbers (Primary / Secondary),"MODULE 1: USER, FAMILY & PROFILE MANAGEMENT (Sthapana) > 1.1 User Profile","The application should capture or support mobile numbers (primary / secondary), validate it, persist it to the authoritative store, and display it after save.","FoundationHub, Submodule1B, onboarding steps, familyService, educationService, and profile API provide profile/family/education paths. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD; PM_SCREEN_INVENTORY and PM_FIELD_INVENTORY list Foundation, Family, and Education screens. Evidence authority remains source/database unless a live observation is explicitly stated.",/foundation; /foundation/family; /foundation/education; /onboarding/name; /onboarding/dob; /onboarding/status; /onboarding/occupation,src/app/(dashboard)/foundation/page.tsx; src/app/(dashboard)/foundation/family/page.tsx; src/app/(dashboard)/foundation/education/page.tsx; src/app/api/profile/route.ts; src/app/api/family/route.ts; src/app/api/education/route.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,users; family_members; education; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Partially Implemented,Primary contact capture exists; secondaryMobile exists in schema/read response but a complete primary/secondary edit workflow was not found.,Confirmed,"Which implementation is authoritative for Mobile Numbers (Primary / Secondary), and how should WD resolve this mismatch: Primary contact capture exists; secondaryMobile exists in schema/read response but a complete primary/secondary edit workflow was not found.",WD to close the cited gap for Mobile Numbers (Primary / Secondary); PM/DA to verify the completed workflow end to end.
PRD-M01-005,Email IDs (Primary / Recovery),"MODULE 1: USER, FAMILY & PROFILE MANAGEMENT (Sthapana) > 1.1 User Profile","The application should capture or support email ids (primary / recovery), validate it, persist it to the authoritative store, and display it after save.","FoundationHub, Submodule1B, onboarding steps, familyService, educationService, and profile API provide profile/family/education paths. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD; PM_SCREEN_INVENTORY and PM_FIELD_INVENTORY list Foundation, Family, and Education screens. Evidence authority remains source/database unless a live observation is explicitly stated.",/foundation; /foundation/family; /foundation/education; /onboarding/name; /onboarding/dob; /onboarding/status; /onboarding/occupation,src/app/(dashboard)/foundation/page.tsx; src/app/(dashboard)/foundation/family/page.tsx; src/app/(dashboard)/foundation/education/page.tsx; src/app/api/profile/route.ts; src/app/api/family/route.ts; src/app/api/education/route.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,users; family_members; education; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Partially Implemented,"Primary auth email exists and recoveryEmail is readable in profile data, but a complete primary/recovery email management workflow was not found.",Confirmed,"Which implementation is authoritative for Email IDs (Primary / Recovery), and how should WD resolve this mismatch: Primary auth email exists and recoveryEmail is readable in profile data, but a complete primary/recovery email management workflow was not found.",WD to close the cited gap for Email IDs (Primary / Recovery); PM/DA to verify the completed workflow end to end.
PRD-M01-006,Address,"MODULE 1: USER, FAMILY & PROFILE MANAGEMENT (Sthapana) > 1.1 User Profile","The application should capture or support address, validate it, persist it to the authoritative store, and display it after save.","FoundationHub, Submodule1B, onboarding steps, familyService, educationService, and profile API provide profile/family/education paths. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD; PM_SCREEN_INVENTORY and PM_FIELD_INVENTORY list Foundation, Family, and Education screens. Evidence authority remains source/database unless a live observation is explicitly stated.",/foundation; /foundation/family; /foundation/education; /onboarding/name; /onboarding/dob; /onboarding/status; /onboarding/occupation,src/app/(dashboard)/foundation/page.tsx; src/app/(dashboard)/foundation/family/page.tsx; src/app/(dashboard)/foundation/education/page.tsx; src/app/api/profile/route.ts; src/app/api/family/route.ts; src/app/api/education/route.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,users; family_members; education; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Not Implemented,"users.address exists, but no Foundation/onboarding address capture route was found.",Strong Evidence,"Is Address still required for the current release boundary, and if so which WD owner and target milestone apply?","PM to confirm scope; if retained, WD should design and estimate Address before implementation."
PRD-M01-007,Occupation / Business,"MODULE 1: USER, FAMILY & PROFILE MANAGEMENT (Sthapana) > 1.1 User Profile","The application should capture or support occupation / business, validate it, persist it to the authoritative store, and display it after save.","FoundationHub, Submodule1B, onboarding steps, familyService, educationService, and profile API provide profile/family/education paths. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD; PM_SCREEN_INVENTORY and PM_FIELD_INVENTORY list Foundation, Family, and Education screens. Evidence authority remains source/database unless a live observation is explicitly stated.",/foundation; /foundation/family; /foundation/education; /onboarding/name; /onboarding/dob; /onboarding/status; /onboarding/occupation,src/app/(dashboard)/foundation/page.tsx; src/app/(dashboard)/foundation/family/page.tsx; src/app/(dashboard)/foundation/education/page.tsx; src/app/api/profile/route.ts; src/app/api/family/route.ts; src/app/api/education/route.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,users; family_members; education; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Implemented,No material source-level gap found for this atomic field; live behavior still requires PM/WD confirmation.,Confirmed,Can WD/PM confirm that Occupation / Business behaves in the live build exactly as the cited source path and identify its acceptance test?,Run and record a focused acceptance test for Occupation / Business; then mark Verified if behavior matches the PRD.
PRD-M01-008,Employer / Company,"MODULE 1: USER, FAMILY & PROFILE MANAGEMENT (Sthapana) > 1.1 User Profile","The application should capture or support employer / company, validate it, persist it to the authoritative store, and display it after save.","FoundationHub, Submodule1B, onboarding steps, familyService, educationService, and profile API provide profile/family/education paths. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD; PM_SCREEN_INVENTORY and PM_FIELD_INVENTORY list Foundation, Family, and Education screens. Evidence authority remains source/database unless a live observation is explicitly stated.",/foundation; /foundation/family; /foundation/education; /onboarding/name; /onboarding/dob; /onboarding/status; /onboarding/occupation,src/app/(dashboard)/foundation/page.tsx; src/app/(dashboard)/foundation/family/page.tsx; src/app/(dashboard)/foundation/education/page.tsx; src/app/api/profile/route.ts; src/app/api/family/route.ts; src/app/api/education/route.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,users; family_members; education; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Not Implemented,"users.employerCompany and profile API support exist, but no onboarding/Foundation input for employer/company was found.",Strong Evidence,"Is Employer / Company still required for the current release boundary, and if so which WD owner and target milestone apply?","PM to confirm scope; if retained, WD should design and estimate Employer / Company before implementation."
PRD-M01-009,Marital Status,"MODULE 1: USER, FAMILY & PROFILE MANAGEMENT (Sthapana) > 1.1 User Profile","The application should capture or support marital status, validate it, persist it to the authoritative store, and display it after save.","FoundationHub, Submodule1B, onboarding steps, familyService, educationService, and profile API provide profile/family/education paths. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD; PM_SCREEN_INVENTORY and PM_FIELD_INVENTORY list Foundation, Family, and Education screens. Evidence authority remains source/database unless a live observation is explicitly stated.",/foundation; /foundation/family; /foundation/education; /onboarding/name; /onboarding/dob; /onboarding/status; /onboarding/occupation,src/app/(dashboard)/foundation/page.tsx; src/app/(dashboard)/foundation/family/page.tsx; src/app/(dashboard)/foundation/education/page.tsx; src/app/api/profile/route.ts; src/app/api/family/route.ts; src/app/api/education/route.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,users; family_members; education; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Implemented,No material source-level gap found for this atomic field; live behavior still requires PM/WD confirmation.,Confirmed,Can WD/PM confirm that Marital Status behaves in the live build exactly as the cited source path and identify its acceptance test?,Run and record a focused acceptance test for Marital Status; then mark Verified if behavior matches the PRD.
PRD-M01-010,Add family member,"MODULE 1: USER, FAMILY & PROFILE MANAGEMENT (Sthapana) > 1.2 Family Management (1 + 5)","The application should capture or support add family member, validate it, persist it to the authoritative store, and display it after save.","FoundationHub, Submodule1B, onboarding steps, familyService, educationService, and profile API provide profile/family/education paths. Supporting team evidence: PM_MODULE_INVENTORY reports live CRUD; PM_SCREEN_INVENTORY and PM_FIELD_INVENTORY list Foundation, Family, and Education screens. Evidence authority remains source/database unless a live observation is explicitly stated.",/foundation; /foundation/family; /foundation/education; /onboarding/name; /onboarding/dob; /onboarding/status; /onboarding/occupation,src/app/(dashboard)/foundation/page.tsx; src/app/(dashboard)/foundation/family/page.tsx; src/app/(dashboard)/foundation/education/page.tsx; src/app/api/profile/route.ts; src/app/api/family/route.ts; src/app/api/education/route.ts; audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv,users; family_members; education; see audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv and MODULE_DEPENDENCY_MATRIX.csv,Implemented,No material source-level gap found for this atomic field; live behavior still requires PM/WD confirmation.,Confirmed,Can WD/PM confirm that Add family member behaves in the live build exactly as the cited source path and identify its acceptance test?,Run and record a focused acceptance test for Add family member; then mark Verified if behavior matches the PRD.
