Source File,Line / Approx Location,Pattern Found,Code Snippet,Initial Guess Table/Bucket/Function,Notes
src/app/(auth)/intro-cinematic/page.tsx,Line 21,.from(,"{Array.from({ length: 40 }).map((_, i) => {",JavaScript/Node utility - not Supabase,Excluded from final Supabase operation map; retained because .from( matched
src/app/(auth)/intro-cinematic/page.tsx,Line 78,.from(,"{Array.from({ length: 15 }).map((_, i) => (",JavaScript/Node utility - not Supabase,Excluded from final Supabase operation map; retained because .from( matched
src/app/(auth)/reset-password/page.tsx,Line 7,createClient,"import { createClient } from ""@/lib/supabase/client"";",Supabase client initialization/import/reference,Occurrence retained for review
src/app/(auth)/reset-password/page.tsx,Line 7,supabase,"import { createClient } from ""@/lib/supabase/client"";",Supabase client initialization/import/reference,Occurrence retained for review
src/app/(auth)/reset-password/page.tsx,Line 11,createClient,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(auth)/reset-password/page.tsx,Line 11,supabase,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(auth)/reset-password/page.tsx,Line 128,supabase,const { error: sessionError } = await supabase.auth.setSession({,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/reset-password/page.tsx,Line 128,supabase.auth,const { error: sessionError } = await supabase.auth.setSession({,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/reset-password/page.tsx,Line 136,supabase,const { error: updateError } = await supabase.auth.updateUser({,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/reset-password/page.tsx,Line 136,supabase.auth,const { error: updateError } = await supabase.auth.updateUser({,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/reset-password/page.tsx,Line 143,supabase,await supabase.auth.signOut();,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/reset-password/page.tsx,Line 143,supabase.auth,await supabase.auth.signOut();,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 21,createClient,"import { createClient } from ""@/lib/supabase/client"";",Supabase client initialization/import/reference,Occurrence retained for review
src/app/(auth)/start/page.tsx,Line 21,supabase,"import { createClient } from ""@/lib/supabase/client"";",Supabase client initialization/import/reference,Occurrence retained for review
src/app/(auth)/start/page.tsx,Line 94,createClient,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 94,supabase,const supabase = createClient();,Supabase client initialization/import/reference,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 157,supabase,supabase.auth.signOut().then(() => {,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 157,supabase.auth,supabase.auth.signOut().then(() => {,Supabase Auth,Executable Supabase usage included in final map
src/app/(auth)/start/page.tsx,Line 168,.delete(,"newUrl.searchParams.delete(""verification_success"");",Unknown - review adjacent code,Occurrence retained for review
