Usage ID,Module,Feature / Flow,Source File,Function / Component Name,Supabase Client File,Supabase Operation Type,Code Pattern Found,Table / Function / Bucket,Fields Read,Fields Written,Filters / Conditions Used,Insert / Update Payload Source,Delete Behaviour,RPC / Edge Function Name,Storage Bucket,Auth Usage,Error Handling Present,Loading State Present,Success Handling Present,Related Modules,Dashboard Impact,Reminder Impact,Document Vault Impact,Auth / Security Impact,Data Loss Risk,Calculation Risk,Shared Service Used,Direct Call or Service Layer,Duplicate Logic Risk,Hardcoded Table / Field Risk,RLS / Permission Risk,Evidence / Code Reference,Confidence,Needs WD Verification,Recommended Next Action,Notes
SBU-001,Authentication,Initialize Supabase client/session boundary,src/app/(auth)/reset-password/page.tsx,ResetPasswordPage,src/lib/supabase/client.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Yes,No,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/(auth)/reset-password/page.tsx:11; ResetPasswordPage; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-002,Authentication,Create browser session from tokens,src/app/(auth)/reset-password/page.tsx,handleReset,src/lib/supabase/client.ts,auth,supabase.auth.setSession(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,access token and refresh token session,Auth method conditions in caller; Needs WD Verification,"{ access_token: accessToken, refresh_token: refreshToken || """", }",No delete operation in this usage,None,None,setSession; user/session auth context,Yes,Yes,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Medium,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 2 similar usages across 2 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(auth)/reset-password/page.tsx:128; handleReset; supabase.auth.setSession(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-003,Authentication,Update Supabase Auth user metadata or password,src/app/(auth)/reset-password/page.tsx,handleReset,src/lib/supabase/client.ts,auth,supabase.auth.updateUser(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,password or user metadata supplied by caller,Auth method conditions in caller; Needs WD Verification,"{ password: password, }",No delete operation in this usage,None,None,updateUser; user/session auth context,Yes,Yes,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Medium,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 5 similar usages across 4 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(auth)/reset-password/page.tsx:136; handleReset; supabase.auth.updateUser(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-004,Authentication,Logout and clear session,src/app/(auth)/reset-password/page.tsx,handleReset,src/lib/supabase/client.ts,auth,supabase.auth.signOut(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,session/token revocation,Current browser/server session or cookie context,Not applicable,Revokes/clears current auth session; does not delete application records,None,None,signOut; user/session auth context,Yes,Yes,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 8 similar usages across 7 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(auth)/reset-password/page.tsx:143; handleReset; supabase.auth.signOut(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-005,Authentication,Initialize Supabase client/session boundary,src/app/(auth)/start/page.tsx,AuthGatewayContent,src/lib/supabase/client.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Yes,No,Not applicable,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/(auth)/start/page.tsx:94; AuthGatewayContent; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-006,Authentication,Logout and clear session,src/app/(auth)/start/page.tsx,AuthGatewayContent,src/lib/supabase/client.ts,auth,supabase.auth.signOut(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,session/token revocation,Current browser/server session or cookie context,Not applicable,Revokes/clears current auth session; does not delete application records,None,None,signOut; user/session auth context,Yes,No,Partial,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 8 similar usages across 7 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(auth)/start/page.tsx:157; AuthGatewayContent; supabase.auth.signOut(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-007,Authentication,Read or restore current session,src/app/(auth)/start/page.tsx,clearAutoSession,src/lib/supabase/client.ts,auth,supabase.auth.getSession(...),Supabase Auth,"session, user, access context",None identified,Current browser/server session or cookie context,Not applicable,No delete operation in this usage,None,None,getSession; user/session auth context,Yes,No,Partial,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 9 similar usages across 9 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(auth)/start/page.tsx:228; clearAutoSession; supabase.auth.getSession(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-008,Authentication,Logout and clear session,src/app/(auth)/start/page.tsx,clearAutoSession,src/lib/supabase/client.ts,auth,supabase.auth.signOut(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,session/token revocation,Current browser/server session or cookie context,Not applicable,Revokes/clears current auth session; does not delete application records,None,None,signOut; user/session auth context,No,No,Partial,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 8 similar usages across 7 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(auth)/start/page.tsx:231; clearAutoSession; supabase.auth.signOut(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-009,Authentication,Password login,src/app/(auth)/start/page.tsx,handleAuth,src/lib/supabase/client.ts,auth,supabase.auth.signInWithPassword(...),Supabase Auth,session and authenticated user returned by Supabase Auth,email and password submitted to Supabase Auth,Auth method conditions in caller; Needs WD Verification,"{ email: trimmedEmail, password: password, }",No delete operation in this usage,None,None,signInWithPassword; user/session auth context,Yes,No,Partial,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 2 similar usages across 1 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(auth)/start/page.tsx:426; handleAuth; supabase.auth.signInWithPassword(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-010,Authentication,Password login,src/app/(auth)/start/page.tsx,Inline or module-scope call - Needs WD Verification,src/lib/supabase/client.ts,auth,supabase.auth.signInWithPassword(...),Supabase Auth,session and authenticated user returned by Supabase Auth,email and password submitted to Supabase Auth,Auth method conditions in caller; Needs WD Verification,"{ email: trimmedEmail, password, }",No delete operation in this usage,None,None,signInWithPassword; user/session auth context,Yes,No,Partial,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 2 similar usages across 1 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/(auth)/start/page.tsx:471; Inline or module-scope call - Needs WD Verification; supabase.auth.signInWithPassword(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
