Schema,Table,Table_Type,Column_Count,Primary_Key,Outgoing_FK_Count,Incoming_FK_Count,Prisma_Model,Observed_Code_Usage,Proposed_Module_Owner,Ownership_Evidence,Other_Module_Dependencies,RLS_Evidence,Trigger_or_Function_Evidence,Data_Sensitivity,Usage_Status,Confidence,Verification_Status
public,_prisma_migrations,BASE TABLE,8,id,0,0,None (Prisma migration ledger),schema.sql; TABLE_LIST.csv,Platform / Database,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,No FK-based module dependency in supplied export,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,Prisma system ledger,Confirmed,Needs human verification of ownership and live-state parity
public,activity_events,BASE TABLE,6,id,1,0,ActivityEvent,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Analytics / activity,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Probable,Needs WD Verification
public,admin_audit_logs,BASE TABLE,10,id,1,0,AdminAuditLog,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,admin_sessions,BASE TABLE,9,id,1,0,AdminSession,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,admin_users,BASE TABLE,22,id,0,13,AdminUser,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,asset_inventory,BASE TABLE,11,id,1,0,AssetInventory,src/app/api/succession/assets/route.ts,Sampatti,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Probable,Needs WD Verification
public,balance_history,BASE TABLE,5,id,1,0,BalanceHistory,src/app/api/bank/[id]/route.ts,Pravah / Khate,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Pravah / Khate,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,bank_accounts,BASE TABLE,17,id,1,2,BankAccount,src/app/api/bank/[id]/route.ts; src/app/api/nominee/assets/route.ts; src/lib/services/bankService.ts; src/lib/services/notificationService.ts,Pravah / Khate,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth; Pravah / Khate; Kosh,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,broadcasts,BASE TABLE,17,id,1,0,Broadcast,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,budget_plans,BASE TABLE,8,id,1,0,BudgetPlan,src/lib/services/budgetService.ts; src/lib/services/notificationService.ts,Vyaya,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
