Table ID,Table Name,Table Schema,Purpose,Columns Count,Primary Key Column,Foreign Key Columns,Actual FK Targets,Reverse References,Datatype Summary,Nullable/Required Fields,Associated Module,Parent Module,RLS Status,RLS Enabled,Triggers,Functions,Views,Storage Links,Important Columns,Code Evidence,Duplicate/Overlap Tables,Data Risk,Technical Confirmation,Verification Status,Reviewer Name,Review Date,Evidence Reference,Notes,Action Needed
TBL-001,_prisma_migrations,public,Database table storing  prisma migrations data.,8,id,None,None,None,"timestamp with time zone, integer, text, character varying",5 Required / 3 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (_prisma_migrations),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for _prisma_migrations, Table_Columns.csv (8 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-002,activity_events,public,Database table storing activity events data.,6,id,userId,userId->users(id),None,"timestamp without time zone, text, jsonb",4 Required / 2 Nullable,SYSTEM/GAMIFICATION,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (activity_events),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for activity_events, Table_Columns.csv (6 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-003,admin_audit_logs,public,Database table storing admin audit logs data.,10,id,adminUserId,adminUserId->admin_users(id),None,"timestamp without time zone, USER-DEFINED, text, jsonb",6 Required / 4 Nullable,ADMIN,ADMIN,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (admin_audit_logs),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for admin_audit_logs, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-004,admin_sessions,public,Database table storing admin sessions data.,9,id,adminUserId,adminUserId->admin_users(id),None,"timestamp without time zone, text",8 Required / 1 Nullable,ADMIN,ADMIN,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (admin_sessions),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for admin_sessions, Table_Columns.csv (9 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-005,admin_users,public,Database table storing admin users data.,22,id,None,None,admin_audit_logs(adminUserId); admin_sessions(adminUserId); broadcasts(createdBy); calculation_parameter_history(changedBy); data_access_logs(adminUserId); feature_flags(createdBy); module_access_permissions(adminUserId); modules(updatedBy); questions(createdBy); scheduled_reports(createdBy); support_tickets(assignedTo); system_parameters(updatedBy); tutorials(createdBy),"boolean, text, integer, timestamp without time zone, USER-DEFINED",10 Required / 12 Nullable,ADMIN,ADMIN,Disabled (Gapped),false,None,None,None,None,"id, name, status",src/app/api/... or prisma/schema.prisma (admin_users),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for admin_users, Table_Columns.csv (22 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-006,asset_inventory,public,Database table storing asset inventory data.,11,id,userId,userId->users(id),None,"timestamp without time zone, boolean, double precision, text",7 Required / 4 Nullable,SAMPATTI (Assets),ASSETS,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (asset_inventory),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for asset_inventory, Table_Columns.csv (11 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-007,balance_history,public,Database table storing balance history data.,5,id,bankAccountId,bankAccountId->bank_accounts(id),None,"timestamp without time zone, double precision, text",4 Required / 1 Nullable,KHATE (Bank Hub),BANKING,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (balance_history),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for balance_history, Table_Columns.csv (5 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-008,bank_accounts,public,Database table storing bank accounts data.,17,id,userId,userId->users(id),balance_history(bankAccountId); income_streams(creditedAccountId),"boolean, double precision, text, timestamp without time zone, jsonb",9 Required / 8 Nullable,KHATE (Bank Hub),BANKING,Disabled (Gapped),false,None,None,None,None,"id, userId, status",src/app/api/... or prisma/schema.prisma (bank_accounts),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for bank_accounts, Table_Columns.csv (17 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-009,broadcasts,public,Database table storing broadcasts data.,17,id,createdBy,createdBy->admin_users(id),None,"text, integer, timestamp without time zone, USER-DEFINED, jsonb",12 Required / 5 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, status",src/app/api/... or prisma/schema.prisma (broadcasts),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for broadcasts, Table_Columns.csv (17 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-010,budget_plans,public,Database table storing budget plans data.,8,id,userId,userId->users(id),None,"boolean, double precision, text, timestamp without time zone, jsonb",7 Required / 1 Nullable,VYAYA (Expenses),EXPENSES,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (budget_plans),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for budget_plans, Table_Columns.csv (8 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-011,calculation_parameter_history,public,Database table storing calculation parameter history data.,8,id,changedBy; parameterId,changedBy->admin_users(id); parameterId->calculation_parameters(id),None,"timestamp without time zone, double precision, text",7 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (calculation_parameter_history),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for calculation_parameter_history, Table_Columns.csv (8 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-012,calculation_parameters,public,Database table storing calculation parameters data.,9,id,None,None,calculation_parameter_history(parameterId),"timestamp without time zone, double precision, integer, text",7 Required / 2 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (calculation_parameters),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for calculation_parameters, Table_Columns.csv (9 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-013,cash_wallets,public,Database table storing cash wallets data.,7,id,userId,userId->users(id),None,"timestamp without time zone, double precision, text",7 Required / 0 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (cash_wallets),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for cash_wallets, Table_Columns.csv (7 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-014,cohorts,public,Database table storing cohorts data.,12,id,None,None,user_cohorts(cohortId),"boolean, text, integer, timestamp without time zone, jsonb",7 Required / 5 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, name",src/app/api/... or prisma/schema.prisma (cohorts),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for cohorts, Table_Columns.csv (12 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-015,consent_records,public,Database table storing consent records data.,9,id,userId,userId->users(id),None,"timestamp without time zone, boolean, text",6 Required / 3 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (consent_records),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for consent_records, Table_Columns.csv (9 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-016,contact_messages,public,Database table storing contact messages data.,7,id,None,None,None,"timestamp without time zone, text",7 Required / 0 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, name, status",src/app/api/... or prisma/schema.prisma (contact_messages),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for contact_messages, Table_Columns.csv (7 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
