Source Name,File Name,Owner Team,Date,Type of Bugs,Evidence Available,Rows Reviewed,Rows Sent To Raw Merge,Rows Included In Master,Notes
PM verified bug register,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,PM,Needs WD Verification,User journey bugs with PM verification notes,Yes,39,39,39,Offline local file; no external evidence URLs opened.
Existing/NB bug report,audit-input/03-bug-and-evidence/EXISTING_BUG_REPORT.csv,QA/PM,Needs WD Verification,Existing bug report and new bug IDs,Yes,18,18,18,Offline local file; no external evidence URLs opened.
DA bug verification journeys,audit-input/03-bug-and-evidence/DA_BUG_VERIFICATION.csv,DA,Needs WD Verification,Journey test results; only non-pass rows included in master,Yes,36,36,18,Offline local file; no external evidence URLs opened.
P0/P1 bug report draft,audit-input/03-bug-and-evidence/P0_P1_BUG_REPORT_DRAFT.csv,QA/AI,Needs WD Verification,P0/P1 severity handoff source,Yes,9,9,9,Offline local file; no external evidence URLs opened.
DA suspected missing connections,audit-input/02-existing-team-outputs/DA_SUSPECTED_MISSING_CONNECTIONS.csv,DA,Needs WD Verification,Cross-module missing/partial dependency bugs,Yes,13,13,13,Offline local file; no external evidence URLs opened.
DA unclear/conflicting fields,audit-input/02-existing-team-outputs/DA_UNCLEAR_AND_CONFLICTING_FIELDS.csv,DA,Needs WD Verification,Field mismatch and ambiguous frontend/database mapping risks,Yes,47,47,47,Offline local file; no external evidence URLs opened.
DA evidence library,audit-input/03-bug-and-evidence/EVIDENCE_LIBRARY.csv,DA/QA,Needs WD Verification,Supporting evidence library; linked by NB IDs,Yes,2,2,0,Offline local file; no external evidence URLs opened.
Jira export Jira.csv,audit-input/06-additional-qa-ux-stress-evidence/Jira.csv,Jira/PM,Needs WD Verification,Jira status/priority/parent export; bug rows included in master,Yes,91,91,73,Offline local file; no external evidence URLs opened.
Jira export Jira (1).csv,audit-input/06-additional-qa-ux-stress-evidence/Jira (1).csv,Jira/PM,Needs WD Verification,Jira status/priority/parent export; bug rows included in master,Yes,13,13,5,Offline local file; no external evidence URLs opened.
Additional evidence document - Bug report.pdf,audit-input/06-additional-qa-ux-stress-evidence/Bug report.pdf,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,20,20,20,Offline local file; no external evidence URLs opened.
Additional evidence document - Bugs Fix walkthrough 27-4-26.2 (1).md,audit-input/06-additional-qa-ux-stress-evidence/Bugs Fix walkthrough 27-4-26.2 (1).md,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,3,3,3,Offline local file; no external evidence URLs opened.
Additional evidence document - Money_App_Module_Dependency_Report (1).docx,audit-input/06-additional-qa-ux-stress-evidence/Money_App_Module_Dependency_Report (1).docx,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,1,1,1,Offline local file; no external evidence URLs opened.
Additional evidence document - Rajya Simulator.pdf,audit-input/06-additional-qa-ux-stress-evidence/Rajya Simulator.pdf,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,9,9,9,Offline local file; no external evidence URLs opened.
Additional evidence document - SVA_RAJYA_Stress_Test_Report.pdf,audit-input/06-additional-qa-ux-stress-evidence/SVA_RAJYA_Stress_Test_Report.pdf,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,5,5,5,Offline local file; no external evidence URLs opened.
Additional evidence document - SVA_Rajya_Stress_Test_v2.docx,audit-input/06-additional-qa-ux-stress-evidence/SVA_Rajya_Stress_Test_v2.docx,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,8,8,8,Offline local file; no external evidence URLs opened.
Additional evidence document - Sav-Rajya (1).docx,audit-input/06-additional-qa-ux-stress-evidence/Sav-Rajya (1).docx,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,20,20,20,Offline local file; no external evidence URLs opened.
Additional evidence document - Stess-Test_ Report.pdf,audit-input/06-additional-qa-ux-stress-evidence/Stess-Test_ Report.pdf,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,1,1,1,Offline local file; no external evidence URLs opened.
Additional evidence document - Stress Test.pdf,audit-input/06-additional-qa-ux-stress-evidence/Stress Test.pdf,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,1,1,1,Offline local file; no external evidence URLs opened.
Additional evidence document - Svarajya_UX_Audit_Analysis_Samiksha_V1 (1).pdf,audit-input/06-additional-qa-ux-stress-evidence/Svarajya_UX_Audit_Analysis_Samiksha_V1 (1).pdf,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,20,20,20,Offline local file; no external evidence URLs opened.
Additional evidence document - bugs_fix_implementation_plan (1).md,audit-input/06-additional-qa-ux-stress-evidence/bugs_fix_implementation_plan (1).md,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,6,6,6,Offline local file; no external evidence URLs opened.
Additional evidence document - bugs_fix_implementation_plan (2).md,audit-input/06-additional-qa-ux-stress-evidence/bugs_fix_implementation_plan (2).md,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,6,6,0,Offline local file; no external evidence URLs opened.
Additional evidence document - k6_stress_test_report.pdf,audit-input/06-additional-qa-ux-stress-evidence/k6_stress_test_report.pdf,QA/UX/WD,Needs WD Verification,Additional offline document evidence; extracted headings only,Yes,1,1,1,Offline local file; no external evidence URLs opened.
