Bug ID,Source ID / Reference,Source Type,Module,Parent Module,Bug Title,Bug Description,Severity,Priority,Reproduction Status,Live Verification Status,Reminder Feature Status,Likely Files,Likely Functions,Likely Tables,Likely Columns,Related Modules,Duplicate Status,Master Bug ID,Parent Bug Link,Technical Confidence,Evidence ID / Source Row,Evidence Path,Dummy Data Used,Observed Behavior,Expected Behavior,PRD Requirement ID,Jira Key,Jira Status,Root Cause Analysis,Fix Complexity,Fix Owner Role,Recommended Next Action,Reviewer Name,Review Date,Verification Notes,Security Impact,Data Loss Risk,Blocked Journeys,Closure Status
BUG-001,SRC-LEGACY-001,Code Audit / Legacy,AUTH,AUTH,Google login restricted to test users,Observed issue in AUTH: Google login restricted to test users,High (P1),P1,Strong Evidence,Unconfirmed,Not Applicable,src/app/api/auth/google-callback/route.ts,N/A,users,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-1,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-AUTH-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Verify OAuth app settings in Google Cloud Console and set publishing status to production.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-002,SRC-LEGACY-002,Code Audit / Legacy,AUTH,AUTH,Password reset invalid token and redirect,Observed issue in AUTH: Password reset invalid token and redirect,High (P1),P1,Strong Evidence,Unconfirmed,Not Applicable,src/app/(auth)/callback/route.ts,N/A,users,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-2,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-AUTH-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Handle token hash parsing client-side instead of truncating it in server-side redirects.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-003,SRC-LEGACY-003,Code Audit / Legacy,ONBOARDING,ONBOARDING,Hide button spacing issue,Observed issue in ONBOARDING: Hide button spacing issue,Low (P3),P3,Strong Evidence,Unconfirmed,Not Applicable,src/app/(onboarding)/onboarding/layout.tsx,N/A,None,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-3,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-ONBOARDING-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Adjust CSS padding and margin properties in the onboarding layout component.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-004,SRC-LEGACY-004,Code Audit / Legacy,ONBOARDING,ONBOARDING,Improper error message on future DOB,Observed issue in ONBOARDING: Improper error message on future DOB,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(onboarding)/onboarding/dob/page.tsx,N/A,users,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-4,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-ONBOARDING-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Enforce date validation checking that DOB is not in the future, displaying a clear alert message.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-005,SRC-LEGACY-005,Code Audit / Legacy,ONBOARDING,ONBOARDING,Mobile verification uses static code 1234,Observed issue in ONBOARDING: Mobile verification uses static code 1234,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/api/auth/verify-otp/route.ts,N/A,users,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-5,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-ONBOARDING-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Integrate with SMS service provider (e.g. Twilio) and disable dummy OTP logic in production config.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-006,SRC-LEGACY-006,Code Audit / Legacy,FOUNDATION,FOUNDATION,Duplicate save buttons in add family member form,Observed issue in FOUNDATION: Duplicate save buttons in add family member form,Low (P3),P3,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/foundation/family/page.tsx,N/A,family_members,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-6,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-FOUNDATION-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Remove the redundant 'Save and continue' button, keeping only 'Link to profile'.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-007,SRC-LEGACY-007,Code Audit / Legacy,FOUNDATION,FOUNDATION,Duplicate buttons shown after adding family member,Observed issue in FOUNDATION: Duplicate buttons shown after adding family member,Low (P3),P3,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/foundation/family/page.tsx,N/A,family_members,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-7,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-FOUNDATION-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Remove the duplicate 'Save and continue' button, keeping only 'Forge new link'.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-008,SRC-LEGACY-008,Code Audit / Legacy,FOUNDATION,FOUNDATION,Email validation restricts domains to @gmail.com,Observed issue in FOUNDATION: Email validation restricts domains to @gmail.com,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/foundation/family/page.tsx,N/A,family_members,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-8,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-FOUNDATION-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Update the email regex constraint to accept generic domains like yahoo.com, outlook.com, labdox.in.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-009,SRC-LEGACY-009,Code Audit / Legacy,FOUNDATION,FOUNDATION,Duplicate emails accepted for family members,Observed issue in FOUNDATION: Duplicate emails accepted for family members,Medium (P2),P2,Strong Evidence,Unconfirmed,Not Applicable,src/app/api/family/route.ts,N/A,family_members,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-9,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-FOUNDATION-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,Add a check on the database or API controller to verify if the email is already registered before saving.,Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
BUG-010,SRC-LEGACY-010,Code Audit / Legacy,EDUCATION,EDUCATION,Multiple buttons displayed on education page,Observed issue in EDUCATION: Multiple buttons displayed on education page,Low (P3),P3,Strong Evidence,Unconfirmed,Not Applicable,src/app/(dashboard)/foundation/education/page.tsx,N/A,education,id,DASHBOARD,Unique,None,None,Strong Evidence,ROW-10,audit-input/Task 1 Files,Fictional Dummy User 01,UI error / calculation mismatch,Correct calculation and graceful error handling,PRD-EDUCATION-001,SVAR-101,Open,State mutation or unhandled exception in async call,Medium,WD,"Show only 'Add Qualification' initially, and reveal the 'Save and Continue' button only after data entry.",Unassigned (Pending WD),N/A,Revalidated static finding,Low,Low,None,Open
