Module_ID,Module_Name,Config_Key,Config_Status,Main_Route,Main_Page_File,Main_Component_or_Function,Related_Page_Files,API_Routes,Service_or_Store,Data_or_Storage,Module_Association,Implementation_Assessment,Confidence,Evidence_Notes
1,Sthapana / Foundation,FOUNDATION,isImplemented=true,/foundation,src/app/(dashboard)/foundation/page.tsx,FoundationHub,"src/app/(dashboard)/foundation/education/page.tsx; src/app/(dashboard)/foundation/education/[id]/edit/page.tsx; src/app/(dashboard)/foundation/family/page.tsx","/api/profile; /api/education; /api/family","userService; educationService; familyService; OnboardingStore","Prisma User/Education/FamilyMember; Supabase Auth metadata and profile-photos Storage; local Vault",Foundation profile family and education,Implemented with server and client persistence,Confirmed,"modules.config.ts lines 19-30; page and API files exist; direct imports and fetch calls confirmed"
2,Pehchaan / Identity Vault,PEHCHAAN,isImplemented=true,/pehchaan/records,src/app/(dashboard)/pehchaan/records/page.tsx,IdentityHub,"src/app/(dashboard)/pehchaan/records/add/page.tsx; src/app/(dashboard)/pehchaan/records/[id]/edit/page.tsx; src/app/(dashboard)/pehchaan/records/doc/[id]/page.tsx; src/app/(dashboard)/pehchaan/records/links/page.tsx; src/app/(dashboard)/pehchaan/records/renewals/page.tsx; src/app/(dashboard)/pehchaan/mapping/page.tsx; src/app/(dashboard)/pehchaan/validity/page.tsx","/api/identity; /api/identity/[id]; /api/identity/links; /api/identity/reminders; /api/identity/settings","identityService; IdentityStore in src/lib; IdentityStore in src/lib/stores","Prisma IdentityRecord/IdentityLink/Reminder/DocumentMeta; local Vault; Google Drive",Identity documents links validity and reminders,Implemented with parallel old/new route and store paths,Confirmed,"modules.config.ts lines 31-42; both src/lib/identityStore.ts and src/lib/stores/identityStore.ts are imported by different Pehchaan pages"
3,Kunji / Dwaar Credentials,DWAAR,isImplemented=true,/dwaar/portals,src/app/(dashboard)/dwaar/portals/page.tsx,KeyChamberHub,"src/app/(dashboard)/dwaar/portals/add/page.tsx; src/app/(dashboard)/dwaar/portals/portal/[id]/page.tsx; src/app/(dashboard)/dwaar/portals/access/page.tsx","/api/credentials; /api/credentials/[id]; /api/profile","credentialService; CredentialStore; IdentityStore","Prisma CredentialRecord; browser client stores",Credentials and access continuity,Implemented,Confirmed,"modules.config.ts lines 43-54; page and API route files exist; credentialService is imported by credentials routes"
4,Kosh / Income,KOSH,isImplemented=true,/kosh/sources,src/app/(dashboard)/kosh/sources/page.tsx,KoshHub,"src/app/(dashboard)/kosh/sources/add/page.tsx; src/app/(dashboard)/kosh/page.tsx; src/app/(dashboard)/kosh/add/page.tsx; src/app/(dashboard)/kosh/income/page.tsx; src/app/(dashboard)/kosh/income/[id]/edit/page.tsx; src/app/(dashboard)/kosh/analytics/page.tsx; src/app/(dashboard)/kosh/disposable/page.tsx; src/app/(dashboard)/kosh/dependency/page.tsx","/api/income; /api/income/[id]; /api/bank; /api/family","incomeService; IncomeStore in src/lib; IncomeStore in src/lib/stores; bankApi","Prisma IncomeStream; browser stores",Income sources analytics and disposable income,Implemented with parallel legacy and configured route families,Confirmed,"modules.config.ts lines 55-66 registers /kosh/sources; /kosh and /kosh/sources each define KoshHub and import different IncomeStore paths"
5,Vyaya / Expenses,VYAYA,isImplemented=true,/vyaya/entry,src/app/(dashboard)/vyaya/entry/page.tsx,VyayaHub,"src/app/(dashboard)/vyaya/entry/add/page.tsx; src/app/(dashboard)/vyaya/page.tsx; src/app/(dashboard)/vyaya/add/page.tsx; src/app/(dashboard)/vyaya/budget/page.tsx; src/app/(dashboard)/vyaya/categories/page.tsx; src/app/(dashboard)/vyaya/analytics/page.tsx; src/app/(dashboard)/vyaya/subscriptions/page.tsx","/api/expenses; /api/expenses/[id]; /api/expense-categories; /api/budget; /api/subscriptions","expenseService; expenseCategoryService; budgetService; ExpenseStore in two paths","Prisma ExpenseEntry/ExpenseCategory/BudgetPlan/Subscription; browser stores",Expenses budget categories and recurring expenses,Implemented with parallel legacy and configured route families,Confirmed,"modules.config.ts lines 67-78 registers /vyaya/entry; /vyaya and /vyaya/entry import different ExpenseStore paths"
6,Pravah / Khate Bank Hub,KHATE,isImplemented=true,/khate/accounts,src/app/(dashboard)/khate/accounts/page.tsx,BankHub,"src/app/(dashboard)/khate/accounts/add/page.tsx; src/app/(dashboard)/khate/accounts/[id]/edit/page.tsx; src/app/(dashboard)/khate/accounts/cash/page.tsx; src/app/(dashboard)/khate/accounts/flow/page.tsx; src/app/(dashboard)/khate/accounts/idle/page.tsx; src/app/(dashboard)/khate/cash/page.tsx; src/app/(dashboard)/khate/cash-flow/page.tsx; src/app/(dashboard)/khate/idle-detection/page.tsx","/api/bank; /api/bank/[id]","bankService; bankApi; BankStore in src/lib and src/lib/stores","Prisma BankAccount/CashWallet/BalanceHistory; browser stores",Bank accounts cash flow and idle funds,Implemented with duplicate route/store families,Confirmed,"modules.config.ts lines 79-90; accounts and non-accounts paths define duplicate CashWalletPage/CashFlowEngine/IdleMoneyEngine components"
7,Beej / Investments,BEEJ,isImplemented=false,/beej,src/app/(dashboard)/beej/page.tsx,BeejPage,None,None,None,None,Investments,Placeholder only,Confirmed,"modules.config.ts lines 91-102; BeejPage states that the investment engine is under construction and has no data/API integration"
8,Raksha / Insurance,RAKSHA,isImplemented=true,/raksha,src/app/(dashboard)/raksha/page.tsx,RakshaModule,"src/app/(dashboard)/raksha/policies/page.tsx; src/app/(dashboard)/raksha/policies/add/page.tsx; src/app/(dashboard)/raksha/policies/[id]/page.tsx; src/app/(dashboard)/raksha/policies/[id]/edit/page.tsx","/api/insurance; /api/insurance/[id]; /api/family; /api/income; /api/documents","insuranceService; useRakshaStore; NotificationStore; reminderService","Prisma InsurancePolicy/InsuranceCoverage/Reminder/DocumentMeta; local Vault",Insurance and protection,Implemented,Confirmed,"modules.config.ts lines 103-114; list/add/detail/edit pages and insurance API/service paths exist"
9,Rin / Loans,RIN,isImplemented=true,/rin,src/app/(dashboard)/rin/page.tsx,RinDashboard,"src/app/(dashboard)/rin/loans/page.tsx; src/app/(dashboard)/rin/loans/add/page.tsx; src/app/(dashboard)/rin/loans/[id]/page.tsx; src/app/(dashboard)/rin/loans/[id]/edit/page.tsx","/api/loans; /api/loans/[id]; /api/family; /api/documents","loanService; NotificationStore; Vault","Prisma LoanAccount/DocumentMeta; local Vault",Loans liabilities and EMI records,Implemented,Confirmed,"modules.config.ts lines 115-126; loan page/API/service paths exist"
10,Bhoomi / Property,BHOOMI,isImplemented=false,/bhoomi,src/app/(dashboard)/bhoomi/page.tsx,BhoomiPage,"src/app/(dashboard)/bhoomi/add/page.tsx; src/app/(dashboard)/bhoomi/[id]/edit/page.tsx","/api/bhoomi/properties; /api/bhoomi/properties/[id]; /api/loans","bhoomiService; NotificationStore; Vault","Prisma PropertyAsset; local Vault",Real estate and property,Functional CRUD exists but config marks module not implemented,Confirmed,"modules.config.ts lines 127-138 conflicts with BhoomiPage fetch/delete logic plus add/edit pages and bhoomiService"
