Map_ID,Module,Screen_or_Form,Visible_Label,Form_Variable,Component_File,Service_API_Store,Database_Table,Database_Column,Mapping_Type,Evidence,Confidence,Verification_Status
FDB-001,Sthapana / Foundation,Family Mandal,Name,memberData.name,src/app/(dashboard)/foundation/family/page.tsx,/api/family -> familyService,family_members,name,Direct,src/app/(dashboard)/foundation/family/page.tsx; /api/family -> familyService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-002,Sthapana / Foundation,Family Mandal,Relationship,memberData.relationship -> payload.relation,src/app/(dashboard)/foundation/family/page.tsx,/api/family -> familyService,family_members,relation,Renamed,src/app/(dashboard)/foundation/family/page.tsx; /api/family -> familyService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-003,Sthapana / Foundation,Family Mandal,Janma Tithi (DOB),memberData.dob,src/app/(dashboard)/foundation/family/page.tsx,/api/family -> familyService,family_members,dob,Direct,src/app/(dashboard)/foundation/family/page.tsx; /api/family -> familyService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-004,Sthapana / Foundation,Family Mandal,Mobile,memberData.phone,src/app/(dashboard)/foundation/family/page.tsx,/api/family -> familyService,family_members,phone,Direct,src/app/(dashboard)/foundation/family/page.tsx; /api/family -> familyService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-005,Sthapana / Foundation,Family Mandal,Email,memberData.email,src/app/(dashboard)/foundation/family/page.tsx,/api/family -> familyService,family_members,email,Direct,src/app/(dashboard)/foundation/family/page.tsx; /api/family -> familyService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-006,Sthapana / Foundation,Family Mandal,Financially dependent,memberData.dependent -> payload.isDependent,src/app/(dashboard)/foundation/family/page.tsx,/api/family -> familyService,family_members,isDependent,Renamed,src/app/(dashboard)/foundation/family/page.tsx; /api/family -> familyService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-007,Sthapana / Foundation,Family Mandal,Nominee eligible,memberData.nomineeEligible,src/app/(dashboard)/foundation/family/page.tsx,/api/family -> familyService,family_members,nomineeEligible,Direct,src/app/(dashboard)/foundation/family/page.tsx; /api/family -> familyService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-008,Sthapana / Foundation,Family Mandal,Rajya Access Level,memberData.accessRole -> payload.accessLevel,src/app/(dashboard)/foundation/family/page.tsx,/api/family -> familyService,family_members,accessLevel,Transformed,src/app/(dashboard)/foundation/family/page.tsx; /api/family -> familyService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-009,Sthapana / Foundation,Education qualification,Certificate belongs to,selectedPerson -> familyMemberId,src/app/(dashboard)/foundation/education/page.tsx,/api/education -> educationService,education,familyMemberId,Renamed,src/app/(dashboard)/foundation/education/page.tsx; /api/education -> educationService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-010,Sthapana / Foundation,Education qualification,Degree / Certificate,degree,src/app/(dashboard)/foundation/education/page.tsx,/api/education -> educationService,education,degree,Direct,src/app/(dashboard)/foundation/education/page.tsx; /api/education -> educationService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-011,Sthapana / Foundation,Education qualification,Institution / University,institution -> institute,src/app/(dashboard)/foundation/education/page.tsx,/api/education -> educationService,education,institute,Renamed,src/app/(dashboard)/foundation/education/page.tsx; /api/education -> educationService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-012,Sthapana / Foundation,Education qualification,Year,year -> yearCompleted,src/app/(dashboard)/foundation/education/page.tsx,/api/education -> educationService,education,yearCompleted,Transformed,src/app/(dashboard)/foundation/education/page.tsx; /api/education -> educationService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-013,Sthapana / Foundation,Education qualification,Specialization,specialization,src/app/(dashboard)/foundation/education/page.tsx,/api/education -> educationService,education,specialization,Direct,src/app/(dashboard)/foundation/education/page.tsx; /api/education -> educationService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-014,Sthapana / Foundation,Education qualification,Upload certificate,"uploadedCerts[""new""] -> certificateId",src/app/(dashboard)/foundation/education/page.tsx,/api/education -> educationService,education,certificateUrl,Renamed,src/app/(dashboard)/foundation/education/page.tsx; /api/education -> educationService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-015,Sthapana / Foundation,Education qualification,Education Loan?,hasLoan -> linkedLoanId,src/app/(dashboard)/foundation/education/page.tsx,/api/education -> educationService,education,linkedLoanId,Transformed,src/app/(dashboard)/foundation/education/page.tsx; /api/education -> educationService; prisma/schema.prisma; API writes sentinel EDUCATION_LOAN_ACTIVE rather than a loan-account identifier,Confirmed,Needs human verification against running UI and current deployment
FDB-016,Pehchaan,Add identity record,Document Type,docType -> idType,src/app/(dashboard)/pehchaan/records/add/page.tsx,/api/identity -> identityService,identity_records,idType,Transformed,src/app/(dashboard)/pehchaan/records/add/page.tsx; /api/identity -> identityService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-017,Pehchaan,Add identity record,Document Number,docNumber -> numberMasked,src/app/(dashboard)/pehchaan/records/add/page.tsx,/api/identity -> identityService,identity_records,numberMasked,Transformed,src/app/(dashboard)/pehchaan/records/add/page.tsx; /api/identity -> identityService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-018,Pehchaan,Add identity record,Issue Date,issuedDate,src/app/(dashboard)/pehchaan/records/add/page.tsx,/api/identity -> identityService,identity_records,issuedDate,Direct,src/app/(dashboard)/pehchaan/records/add/page.tsx; /api/identity -> identityService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-019,Pehchaan,Add identity record,Expiry Date,expiryDate,src/app/(dashboard)/pehchaan/records/add/page.tsx,/api/identity -> identityService,identity_records,expiryDate,Direct,src/app/(dashboard)/pehchaan/records/add/page.tsx; /api/identity -> identityService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-020,Pehchaan,Add identity record,Place of Issue,placeOfIssue,src/app/(dashboard)/pehchaan/records/add/page.tsx,/api/identity -> identityService,identity_records,placeOfIssue,Direct,src/app/(dashboard)/pehchaan/records/add/page.tsx; /api/identity -> identityService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-021,Pehchaan,Add identity record,DOB on Document,dobOnDoc,src/app/(dashboard)/pehchaan/records/add/page.tsx,/api/identity -> identityService,identity_records,dobOnDoc,Direct,src/app/(dashboard)/pehchaan/records/add/page.tsx; /api/identity -> identityService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-022,Pehchaan,Add identity record,Full Name (on Document),nameOnDoc,src/app/(dashboard)/pehchaan/records/add/page.tsx,/api/identity -> identityService,identity_records,nameOnDoc,Direct,src/app/(dashboard)/pehchaan/records/add/page.tsx; /api/identity -> identityService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-023,Pehchaan,Add identity record,Official Digital Scan,vaultFileId,src/app/(dashboard)/pehchaan/records/add/page.tsx,/api/identity -> identityService,identity_records,vaultFileId,Direct,src/app/(dashboard)/pehchaan/records/add/page.tsx; /api/identity -> identityService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-024,Pehchaan,Add identity record,Document belongs to,selectedFamilyMemberId -> familyMemberId,src/app/(dashboard)/pehchaan/records/add/page.tsx,/api/identity -> identityService,identity_records,familyMemberId,Renamed,src/app/(dashboard)/pehchaan/records/add/page.tsx; /api/identity -> identityService; prisma/schema.prisma,Confirmed,Needs human verification against running UI and current deployment
FDB-025,Kunji / Dwaar,Add portal (configured route),Category,category,src/app/(dashboard)/dwaar/portals/add/page.tsx,CredentialStore.addPortal (browser store); /api/credentials is not called by this page,Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/dwaar/portals/add/page.tsx; CredentialStore.addPortal (browser store); /api/credentials is not called by this page; prisma/schema.prisma,Confirmed,Needs WD Verification: API-backed credential_records flow exists elsewhere but this configured add page uses a browser store
FDB-026,Kunji / Dwaar,Add portal (configured route),Platform Name,platformName,src/app/(dashboard)/dwaar/portals/add/page.tsx,CredentialStore.addPortal (browser store); /api/credentials is not called by this page,Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/dwaar/portals/add/page.tsx; CredentialStore.addPortal (browser store); /api/credentials is not called by this page; prisma/schema.prisma,Confirmed,Needs WD Verification: API-backed credential_records flow exists elsewhere but this configured add page uses a browser store
FDB-027,Kunji / Dwaar,Add portal (configured route),Website URL,websiteUrl,src/app/(dashboard)/dwaar/portals/add/page.tsx,CredentialStore.addPortal (browser store); /api/credentials is not called by this page,Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/dwaar/portals/add/page.tsx; CredentialStore.addPortal (browser store); /api/credentials is not called by this page; prisma/schema.prisma,Confirmed,Needs WD Verification: API-backed credential_records flow exists elsewhere but this configured add page uses a browser store
FDB-028,Kunji / Dwaar,Add portal (configured route),App Link,appLink,src/app/(dashboard)/dwaar/portals/add/page.tsx,CredentialStore.addPortal (browser store); /api/credentials is not called by this page,Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/dwaar/portals/add/page.tsx; CredentialStore.addPortal (browser store); /api/credentials is not called by this page; prisma/schema.prisma,Confirmed,Needs WD Verification: API-backed credential_records flow exists elsewhere but this configured add page uses a browser store
FDB-029,Kunji / Dwaar,Add portal (configured route),Login ID,loginId,src/app/(dashboard)/dwaar/portals/add/page.tsx,CredentialStore.addPortal (browser store); /api/credentials is not called by this page,Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/dwaar/portals/add/page.tsx; CredentialStore.addPortal (browser store); /api/credentials is not called by this page; prisma/schema.prisma,Confirmed,Needs WD Verification: API-backed credential_records flow exists elsewhere but this configured add page uses a browser store
FDB-030,Kunji / Dwaar,Add portal (configured route),Registered Mobile,registeredMobileId/newMobile,src/app/(dashboard)/dwaar/portals/add/page.tsx,CredentialStore.addPortal (browser store); /api/credentials is not called by this page,Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/dwaar/portals/add/page.tsx; CredentialStore.addPortal (browser store); /api/credentials is not called by this page; prisma/schema.prisma,Confirmed,Needs WD Verification: API-backed credential_records flow exists elsewhere but this configured add page uses a browser store
FDB-031,Kunji / Dwaar,Add portal (configured route),Registered Email,registeredEmailId/newEmail,src/app/(dashboard)/dwaar/portals/add/page.tsx,CredentialStore.addPortal (browser store); /api/credentials is not called by this page,Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/dwaar/portals/add/page.tsx; CredentialStore.addPortal (browser store); /api/credentials is not called by this page; prisma/schema.prisma,Confirmed,Needs WD Verification: API-backed credential_records flow exists elsewhere but this configured add page uses a browser store
FDB-032,Kunji / Dwaar,Add portal (configured route),2FA Type,twoFAType,src/app/(dashboard)/dwaar/portals/add/page.tsx,CredentialStore.addPortal (browser store); /api/credentials is not called by this page,Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/dwaar/portals/add/page.tsx; CredentialStore.addPortal (browser store); /api/credentials is not called by this page; prisma/schema.prisma,Confirmed,Needs WD Verification: API-backed credential_records flow exists elsewhere but this configured add page uses a browser store
FDB-033,Kosh,Add income source (configured route),Income Type,incomeType,src/app/(dashboard)/kosh/sources/add/page.tsx,IncomeStore.addRecord (browser store),Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/kosh/sources/add/page.tsx; IncomeStore.addRecord (browser store); prisma/schema.prisma,Confirmed,Needs WD Verification: parallel /api/income and income_streams flow exists but is not called by this configured screen
FDB-034,Kosh,Add income source (configured route),Source Name,sourceName,src/app/(dashboard)/kosh/sources/add/page.tsx,IncomeStore.addRecord (browser store),Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/kosh/sources/add/page.tsx; IncomeStore.addRecord (browser store); prisma/schema.prisma,Confirmed,Needs WD Verification: parallel /api/income and income_streams flow exists but is not called by this configured screen
FDB-035,Kosh,Add income source (configured route),Frequency,frequency,src/app/(dashboard)/kosh/sources/add/page.tsx,IncomeStore.addRecord (browser store),Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/kosh/sources/add/page.tsx; IncomeStore.addRecord (browser store); prisma/schema.prisma,Confirmed,Needs WD Verification: parallel /api/income and income_streams flow exists but is not called by this configured screen
FDB-036,Kosh,Add income source (configured route),Gross Income,grossIncome,src/app/(dashboard)/kosh/sources/add/page.tsx,IncomeStore.addRecord (browser store),Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/kosh/sources/add/page.tsx; IncomeStore.addRecord (browser store); prisma/schema.prisma,Confirmed,Needs WD Verification: parallel /api/income and income_streams flow exists but is not called by this configured screen
FDB-037,Kosh,Add income source (configured route),Deductions,deductions,src/app/(dashboard)/kosh/sources/add/page.tsx,IncomeStore.addRecord (browser store),Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/kosh/sources/add/page.tsx; IncomeStore.addRecord (browser store); prisma/schema.prisma,Confirmed,Needs WD Verification: parallel /api/income and income_streams flow exists but is not called by this configured screen
FDB-038,Kosh,Add income source (configured route),Credited Bank Account,creditedBank,src/app/(dashboard)/kosh/sources/add/page.tsx,IncomeStore.addRecord (browser store),Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/kosh/sources/add/page.tsx; IncomeStore.addRecord (browser store); prisma/schema.prisma,Confirmed,Needs WD Verification: parallel /api/income and income_streams flow exists but is not called by this configured screen
FDB-039,Kosh,Add income source (configured route),Risk Level,riskLevel,src/app/(dashboard)/kosh/sources/add/page.tsx,IncomeStore.addRecord (browser store),Not persisted to supplied database by this screen,Not mapped,Local-only,src/app/(dashboard)/kosh/sources/add/page.tsx; IncomeStore.addRecord (browser store); prisma/schema.prisma,Confirmed,Needs WD Verification: parallel /api/income and income_streams flow exists but is not called by this configured screen
