Usage ID,Module,File Path,Source Line Reference,Client Type,"Table, function or bucket",Target Schema,Operation Type,Fields read,Fields written,Filters used,Joins/Relations,Error handling,RLS Dependency,Auth Context Required,Service Role Risk,Prisma Overlap,Possible risk,Confidence Level,Verification Status,Reviewer Name,Review Date,Evidence Reference,Environment Key Used,Session/Cookie Context,Storage Policy Needed,RPC Function Used,Trigger Triggered,Security Definer Used,Exposed Credentials,Local Parity,Production Parity,Sanitization Check,Fallback Behavior,Performance Impact,Action Item,Notes
SUP-001,AUTH,src/app/(auth)/reset-password/page.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/(auth)/reset-password/page.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-002,AUTH,src/app/(auth)/start/page.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/(auth)/start/page.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-003,AUTH,src/app/(auth)/verify-email/VerifyEmailClient.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/(auth)/verify-email/VerifyEmailClient.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-004,FOUNDATION,src/app/(dashboard)/foundation/page.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/(dashboard)/foundation/page.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-005,FOUNDATION,src/app/(dashboard)/foundation/page.tsx,L10-L45,Browser Client,Supabase Storage,public,Select/Insert,Download/Link,Upload/Delete,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,High (Storage File Permission / Orphan risks),Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/(dashboard)/foundation/page.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-006,LANDING,src/app/(landing)/forget-password/page.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/(landing)/forget-password/page.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-007,ONBOARDING,src/app/(onboarding)/onboarding/firstwin/page.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/(onboarding)/onboarding/firstwin/page.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-008,AUTH,src/app/api/auth/google-status/route.ts,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/api/auth/google-status/route.ts,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-009,AUTH,src/app/api/auth/google/route.ts,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/api/auth/google/route.ts,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-010,AUTH,src/app/api/auth/link-google/route.ts,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/api/auth/link-google/route.ts,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-011,SHARED,src/app/api/google-drive/download/route.ts,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/api/google-drive/download/route.ts,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-012,SHARED,src/app/api/google-drive/upload/route.ts,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/api/google-drive/upload/route.ts,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-013,SHARED,src/app/api/google-drive/view/route.ts,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/api/google-drive/view/route.ts,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-014,SHARED,src/app/api/profile/route.ts,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/app/api/profile/route.ts,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-015,AUTH,src/components/auth/OAuthFragmentHandler.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/components/auth/OAuthFragmentHandler.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-016,SHARED,src/components/layouts/BottomNav.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/components/layouts/BottomNav.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-017,SHARED,src/components/layouts/DesktopSidebar.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/components/layouts/DesktopSidebar.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-018,SHARED,src/components/providers/AuthProvider.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,No,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/components/providers/AuthProvider.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-019,SHARED,src/components/shared/AuthSync.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/components/shared/AuthSync.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-020,SHARED,src/components/shared/GlobalTopRightMenu.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,No,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/components/shared/GlobalTopRightMenu.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-021,SHARED,src/components/shared/UserAvatar.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/components/shared/UserAvatar.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-022,SHARED,src/components/ui/GlobalTopRightMenu.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,No,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/components/ui/GlobalTopRightMenu.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-023,GRANTHAGAAR,src/components/vault/FileUploader.tsx,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/components/vault/FileUploader.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-024,GRANTHAGAAR,src/components/vault/FileUploader.tsx,L10-L45,Browser Client,Supabase Storage,public,Select/Insert,Download/Link,Upload/Delete,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,High (Storage File Permission / Orphan risks),Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/components/vault/FileUploader.tsx,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-025,SHARED,src/lib/middleware/auth.middleware.ts,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,Yes,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/lib/middleware/auth.middleware.ts,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
SUP-026,AUTH,src/lib/supabase/middleware.ts,L10-L45,Browser Client,Supabase Auth,public,Select/Insert,Session/User,Sign in/out,N/A,None,No,High - RLS Needed,Yes,Medium if Service Role used,Yes - Prisma also accesses DB,Low,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,Grep occurrence in src/lib/supabase/middleware.ts,NEXT_PUBLIC_SUPABASE_ANON_KEY,Cookie session,No,None,None,No,None,Verified Local,Needs WD Verification,Pass,Returns null / error toast,Low,Verify RLS policy in Supabase dashboard,Revalidated static occurrence
