Artifact_Type,File_Path,Component_or_Function,Module_Association,Consumers_or_Callers,Responsibility,Dependencies_or_Data,Reuse_or_Coupling_Observation,Confidence,Evidence
Layout,src/components/layouts/DashboardLayout.tsx,DashboardLayout,All dashboard modules,src/app/(dashboard)/layout.tsx,Composes desktop and mobile dashboard shells,"AuthSync; AlertToast; GlobalTopRightMenu; BottomNav; DesktopSidebar; DesktopRightPanel",Single shell is a high-impact shared dependency,Confirmed,"Direct import and JSX composition in DashboardLayout"
Layout,src/components/layouts/BottomNav.tsx,BottomNav,All dashboard modules,DashboardLayout,Mobile navigation theme notifications and logout,"NotificationStore; ThemeStore; OnboardingStore; Supabase Auth",Uses older top-level theme/onboarding stores while other shared code uses src/lib/stores versions,Confirmed,"Direct imports and handleLogout/safeNavigate functions"
Layout,src/components/layouts/DesktopSidebar.tsx,DesktopSidebar,All dashboard modules,DashboardLayout,Desktop navigation profile quick stats and logout,"AuthProvider/useAuth; IncomeStore; IdentityStore; OnboardingStore; ThemeStore; Supabase Auth",Pulls dashboard statistics from older client stores rather than one server-derived view,Confirmed,"Direct imports; loadIncome/loadIdentity/refreshUser/handleLogout functions"
Layout,src/components/layouts/DesktopRightPanel.tsx,DesktopRightPanel,All dashboard modules on desktop,DashboardLayout,Quick actions and notifications,NotificationStore,Shared notification rendering depends on browser store state,Confirmed,"Direct import and NotificationStore subscription"
Provider,src/components/providers/AuthProvider.tsx,"AuthProvider; useAuth",All routes,"src/app/layout.tsx; Foundation; onboarding name; DesktopSidebar",Restores browser session and publishes auth state,"supabase.auth.getSession; onAuthStateChange; signOut",A new Supabase client is created during each provider render and the effect depends on supabase.auth object identity,Strong Evidence,"Direct component implementation; runtime impact requires browser verification"
Provider,src/components/providers/ToastProvider.tsx,"ToastProvider; useToast",Cross-module UI,28 source consumers including Foundation Kar Kosh Mitra Pehchaan Rin Succession Vyaya and FileUploader,Global transient message service,React context and local state,Very broad UI dependency,Confirmed,"Import graph count and exported symbols"
Provider,src/components/providers/ThemeProvider.tsx,ThemeProvider,All routes,src/app/layout.tsx,Theme context wrapper,next-themes,Root-level shared dependency,Confirmed,"Root layout import and JSX"
Shared component,src/components/shared/AuthSync.tsx,AuthSync,Dashboard and onboarding navigation,DashboardLayout plus wrapper in src/components/ui/AuthSync.tsx,Hydrates onboarding state and redirects non-dashboard authenticated users,"supabase.auth.getSession; /api/profile; OnboardingStore",Overlaps route middleware and AuthProvider responsibilities,Confirmed,"BYPASS_PATHS/PROTECTED_PREFIXES and syncUserData implementation"
Shared component,src/components/shared/AlertToast.tsx,AlertToast,All dashboard modules,DashboardLayout,Displays current client notifications,NotificationStore,Parallel wrapper also exists at src/components/ui/AlertToast.tsx,Confirmed,"Duplicate file names and direct DashboardLayout import"
Shared component,src/components/shared/GlobalTopRightMenu.tsx,GlobalTopRightMenu,All dashboard modules on mobile,DashboardLayout,Theme toggle and logout,"ThemeStore under src/lib/stores; Supabase Auth; localStorage keys",A parallel src/components/ui/GlobalTopRightMenu.tsx uses the older top-level ThemeStore,Confirmed,"Direct imports and handleLogout function in both files"
Shared component,src/components/vault/FileUploader.tsx,FileUploader,"Foundation; Pehchaan; Raksha; Rin; Bhoomi; Kar; Succession; Granthagaar; Vault",22 dashboard page files,Validates and saves files locally with optional Google Drive or Supabase Storage,"Vault; useToast; /api/family; supabase.auth; supabase.storage",Highest reuse upload component and a major cross-module storage coupling point,Confirmed,"22 direct imports; handleFile and handleSaveDetails functions"
Shared component,src/components/ui/PageGuide.tsx,PageGuide,"Bhoomi; Dwaar; Foundation; Kar; Kosh; Pehchaan; Succession; Vault; Vyaya",17 dashboard page files,Contextual page guidance,Component props,Coexists with another consumed PageGuide implementation,Confirmed,"Import graph count"
Shared component,src/components/shared/PageGuide.tsx,PageGuide,"Granthagaar; Kosh; Vyaya",4 dashboard page files,Contextual page guidance,Component props,Duplicate concept and export name with src/components/ui/PageGuide.tsx,Confirmed,"Direct imports from four files"
Shared component,src/components/ui/VideoTutorialPlaceholder.tsx,VideoTutorialPlaceholder,"Bhoomi; Dwaar; Foundation; Kar; Kosh; Mitra; Pehchaan; Rajya; Raksha; Succession; Vault; Vyaya",21 dashboard page files,Tutorial placeholder display,UI props,Very broad repeated dependency,Confirmed,"Import graph count"
Shared component,src/components/ui/ConfirmModal.tsx,ConfirmModal,"Bhoomi; Pehchaan; Raksha; Succession",5 dashboard page files,Reusable destructive-action confirmation,Component props,Central confirmation behavior for several delete flows,Confirmed,"Direct imports in five page files"
Shared component,src/components/shared/NumberInputRupee.tsx,NumberInputRupee,Kosh,"kosh/dependency; kosh/sources/add",Currency input and formatting,formatRupee from src/lib/stores/incomeStore,One of three same-named NumberInputRupee component locations,Confirmed,"Direct imports plus duplicate names under components/treasury and components/shared"
Shared component,src/components/ui/UserAvatar.tsx,UserAvatar,Rajya and desktop shell,"rajya/page.tsx; DesktopSidebar",Avatar rendering and profile metadata,Supabase user metadata,Parallel src/components/shared/UserAvatar.tsx exists and is used by Suchak,Confirmed,"Direct imports and duplicate file paths"
Middleware,src/lib/middleware/auth.middleware.ts,"withAuth; getAuthContext; AuthLevel",Most protected API modules,API route handlers,Validates Supabase user and synchronizes a missing Prisma User,"supabase.auth.getUser; prisma.user",Crosses auth and application-database boundaries on each protected request,Confirmed,"withAuth implementation and route imports"
Service,src/lib/services/userService.ts,"UserService; userService",Profile auth webhook and user API,"/api/profile; /api/auth/create-user; /api/auth/webhook; /api/user",Prisma User CRUD and Supabase Admin synchronization,"Prisma User; supabaseAdmin.auth.admin",High-impact identity bridge between two user stores,Confirmed,"Four import consumers and admin methods getUserById/updateUserById/deleteUser"
Service,src/lib/services/familyService.ts,"FamilyService; familyService",Foundation plus dependent modules,/api/family,FamilyMember CRUD and cache,Prisma FamilyMember,Family data is consumed indirectly by Insurance Loans Nominee FileUploader and Succession,Confirmed,"Service implementation; cross-module /api/family fetches"
Service,src/lib/services/educationService.ts,"EducationService; educationService",Foundation,/api/education and /api/education/[id],Education CRUD,Prisma Education,Also coupled to DocumentMeta and Google Drive moves in API route code,Confirmed,"Two API import consumers plus route-level document logic"
Service,src/lib/services/identityService.ts,"IdentityService; identityService",Pehchaan,/api/identity and /api/identity/[id],IdentityRecord CRUD,Prisma IdentityRecord,Identity API routes also synchronize DocumentMeta and Google Drive files,Confirmed,"Two API imports and route-level syncDocumentMeta calls"
Service,src/lib/services/credentialService.ts,"CredentialService; credentialService",Dwaar,/api/credentials and /api/credentials/[id],CredentialRecord CRUD,Prisma CredentialRecord,Client pages additionally depend on IdentityStore and CredentialStore,Confirmed,"Two API import consumers"
Service,src/lib/services/incomeService.ts,"IncomeService; incomeService","Kosh; Khate; Rin","/api/income; /api/income/[id]; /api/bank; /api/loans",IncomeStream CRUD and aggregates,Prisma IncomeStream,Shared across income bank summary and loan affordability calculations,Confirmed,"Four API import consumers"
Service,src/lib/services/expenseService.ts,"ExpenseService; expenseService","Vyaya; Leakage; Khate","/api/expenses; /api/expenses/[id]; /api/bank",Expense CRUD totals and aggregates,Prisma ExpenseEntry,Shared by cash-flow summaries and subscription/leakage views,Confirmed,"Three API import consumers"
Service,src/lib/services/bankService.ts,"BankAccountService; bankService","Khate; Kosh",/api/bank and /api/bank/[id],Bank account CRUD encryption and balance handling,"Prisma BankAccount; ENCRYPTION_KEY; BalanceHistory; CashWallet",Financial-service dependency with encryption configuration,Confirmed,"Service export and bank API imports"
Client API,src/lib/bankApi.ts,"fetchBankSummary; saveBankAccount; saveCashWallet; saveLiquiditySettings; checkDuplicateAccounts","Khate; Kosh; Suchak",11 page files,Client adapter for bank endpoints,/api/bank and /api/bank/[id],Couples multiple modules to the Bank API response shape,Confirmed,"11 direct import consumers"
Service,src/lib/services/insuranceService.ts,"InsuranceService; insuranceService","Raksha; reminders; family",/api/insurance and /api/insurance/[id],InsurancePolicy CRUD coverage reminders and transactions,"Prisma InsurancePolicy/InsuranceCoverage; reminderService; FamilyMember",Cross-module transaction and reminder coupling,Confirmed,"Service implementation and two API imports"
Service,src/lib/services/loanService.ts,"LoanService; loanService","Rin; family; income",/api/loans and /api/loans/[id],LoanAccount CRUD and calculations,Prisma LoanAccount,Loan API also looks up FamilyMember and consumes income data,Confirmed,"Two API imports and route dependencies"
Service,src/lib/services/bhoomiService.ts,"BhoomiService; bhoomiService","Bhoomi; Rin",/api/bhoomi/properties and /api/bhoomi/properties/[id],PropertyAsset CRUD and loan links,Prisma PropertyAsset,Functional service exists despite module config disabling Bhoomi,Confirmed,"Two API imports and modules.config.ts conflict"
Service,src/lib/services/taxService.ts,"TaxService; taxService",Kar,"/api/kar/tax; /api/kar/summary; /api/kar/insights",TaxRecord operations and aggregates,Prisma TaxRecord,Kar summary/insights couple three compliance services,Confirmed,"Three API import consumers"
Service,src/lib/services/gstService.ts,"GstService; gstService",Kar,"/api/kar/gst; /api/kar/summary; /api/kar/insights",GST record operations,Prisma GstRecord,Shared by Kar aggregate routes,Confirmed,"Three API import consumers"
Service,src/lib/services/dinService.ts,"DinService; dinService",Kar,"/api/kar/din; /api/kar/summary; /api/kar/insights",DIN record operations,Prisma DinRecord,Shared by Kar aggregate routes,Confirmed,"Three API import consumers"
Service,src/lib/services/subscriptionService.ts,"SubscriptionService; subscriptionService","Leakage; Vyaya subscriptions",/api/subscriptions and /api/subscriptions/[id],Subscription CRUD,Prisma Subscription,Overlaps browser ExpenseStore subscription representation,Confirmed,"Two API import consumers and multiple subscription pages"
Service,src/lib/services/notificationService.ts,"NotificationService; notificationService","Notifications; Pehchaan; Raksha; Rin; Bhoomi",notification API routes,Server notification CRUD and automatic alert scanning,"Prisma Notification plus many domain models",Server notifications coexist with browser-only NotificationStore views,Confirmed,"Three API imports; triggerAutomaticAlerts implementation"
Service,src/lib/services/reminderService.ts,"ReminderService; reminderService","Raksha; Pehchaan; Doot",insuranceService and reminders API,Reminder CRUD,Prisma Reminder,Separate from notificationService and client NotificationStore,Confirmed,"insuranceService import and reminder service implementation"
Service,src/lib/services/nomineeService.ts,"NomineeService; nomineeService","Mitra; family; assets",nominee API routes,NomineeMapping CRUD,Prisma NomineeMapping,Connects insurance bank property and investment assets through API aggregation,Confirmed,"Two API imports plus /api/nominee/assets queries"
Service,src/lib/services/willService.ts,"WillService; willService",Mitra,/api/will,Will status get and upsert,Prisma WillStatus,Separate succession will implementation also exists under /api/succession/will,Confirmed,"willService export and parallel SuccessionWill model/routes"
Auth utility,src/lib/googleAuth.ts,getValidGoogleAccessToken,"Google Drive; Foundation; Pehchaan; Raksha; Rin; Succession",Google Drive upload/download/view routes and googleDriveUtils,Reads and refreshes stored Google access tokens,"Prisma User.googleAccessToken/googleRefreshToken; Google token endpoint",Central token-refresh coupling for all Google Drive operations,Confirmed,"Four import consumers and function implementation"
Storage utility,src/lib/googleDriveUtils.ts,"uploadToGoogleDrive; downloadFromGoogleDrive; moveFileInGoogleDrive; deleteFromGoogleDrive",Document-enabled modules,"education/[id]; identity/[id]; insurance/[id]; loans/[id] API routes",Google Drive file lifecycle and DocumentMeta synchronization,"getValidGoogleAccessToken; Prisma DocumentMeta",Cross-module document lifecycle dependency,Confirmed,"Four API import consumers"
