Module,Parent Module,Data Created by Module,Data Read from Previous Modules,Data Supplied to Other Modules,Tables Used,Shared Services Used,Dashboard Impact,Reminder Impact,Vault Impact,Calculation Engine Impact,Dependency Risk,Verification Status,Action Required
AUTH,AUTH,"User credentials, tokens, session cookies",None,User identity context to all modules,"users, user_profiles, user_sessions","authService, supabaseClient",Renders user profile avatar,Not Implemented in Current Build,Restricts Vault document access,None,Critical (P0),Strong Evidence,Verify session cookie persistence
ONBOARDING,ONBOARDING,"User DOB, profile metadata",AUTH,Initial financial state to Dashboard,"user_profiles, personal_identities",onboardingService,Initializes dashboard state,Not Implemented in Current Build,None,Calculates initial age/stage,High (P1),Strong Evidence,Verify DOB validation
DASHBOARD,DASHBOARD,User preference layouts,ALL MODULES,Aggregated summary views,"users, user_profiles","calculationEngine, dashboardService",Core summary hub,Not Implemented in Current Build,Links to document vault,Aggregates net worth & metrics,High (P1),Strong Evidence,Verify real-time calculation sync
KHATE (Bank Hub),BANKING,"Bank accounts, balances, transactions",AUTH,Balances to Dashboard & Net Worth,"bank_accounts, balance_history","bankService, storageService",Feeds liquid cash total,Not Implemented in Current Build,Bank statements in Vault,Feeds asset calculation,High (P1),Strong Evidence,Verify transaction CRUD
NIVESH (Investments),INVESTMENTS,"Stocks, mutual funds, gold, crypto, PPF/EPF","AUTH, KHATE",Investment value to Net Worth & Dashboard,"investments, stock_holdings, mutual_fund_holdings",investmentService,Feeds portfolio total,Not Implemented in Current Build,Investment proof in Vault,Feeds portfolio yield & asset calc,High (P1),Strong Evidence,Verify portfolio valuation sync
VYAYA (Expenses),EXPENSES,"Budgets, expenses, recurring transactions","AUTH, KHATE",Expense totals to Cash Flow & Dashboard,"vyaya_budgets, vyaya_expenses, budget_plans",expenseService,Feeds monthly burn rate,Not Implemented in Current Build,Expense receipts in Vault,Feeds surplus/deficit calc,Medium (P2),Strong Evidence,Verify budget limit alerts
RINN (Debts),DEBTS,"Loans, education debts, payoff plans","AUTH, KHATE",Liability totals to Net Worth & Dashboard,"loans, education_loan_details, rinn_payoffs",debtService,Feeds total debt liability,Not Implemented in Current Build,Loan agreements in Vault,Feeds debt-to-income ratio,High (P1),Strong Evidence,Verify payoff calculation
BIMAN (Insurance),INSURANCE,"Policies, premiums, claims, nominees","AUTH, FAMILY",Coverage total to Protection Score,"insurance_policies, insurance_claims, insurance_nominees",insuranceService,Feeds insurance coverage badge,Not Implemented in Current Build,Policy PDFs in Vault,Feeds risk protection gap,Medium (P2),Strong Evidence,Verify claim status update
KOSH (Emergency Fund),EMERGENCY_FUND,Target emergency fund reserves,"AUTH, KHATE, VYAYA",Emergency runway to Dashboard,emergency_funds,emergencyFundService,Feeds emergency runway months,Not Implemented in Current Build,Fund receipts in Vault,Feeds 6-month expense runway,Medium (P2),Strong Evidence,Verify runway target calc
SAMPATTI (Assets),ASSETS,"Real estate, vehicles, business assets, gold",AUTH,Asset value to Net Worth,"asset_inventory, real_estate_assets, vehicle_assets",assetService,Feeds physical asset value,Not Implemented in Current Build,Title deeds in Vault,Feeds total asset calculation,Medium (P2),Strong Evidence,Verify asset valuation update
LAKSHYA (Goals),GOALS,"Financial goals, targets, contributions","AUTH, NIVESH, KHATE",Goal progress to Dashboard,"goals, goal_contributions",goalService,Feeds goal progress bar,Not Implemented in Current Build,Goal documents in Vault,Feeds goal completion projection,Medium (P2),Strong Evidence,Verify target progress calc
TAX,TAX,"Tax deductions, filings, tax documents","AUTH, NIVESH, VYAYA",Tax liability estimate to Dashboard,"tax_deductions, tax_filings, tax_documents",taxService,Feeds estimated tax liability,Not Implemented in Current Build,Tax Form 16 / IT return in Vault,Feeds taxable income calc,Medium (P2),Strong Evidence,Verify deduction total
FAMILY,FAMILY,"Family members, wills, trusts, milestones",AUTH,Family metadata to Insurance/Vault,"wills, will_beneficiaries, trust_entities",familyService,Feeds family tree summary,Not Implemented in Current Build,Wills / Trusts in Vault,Feeds family allocation,Low (P3),Strong Evidence,Verify beneficiary CRUD
VAULT (Documents),VAULT,"Uploaded documents, tags, shares",ALL MODULES,Document links to all modules,"documents, user_documents, document_shares","vaultStorageService, supabaseStorage",Feeds Vault document count,Not Implemented in Current Build,Core Document Store,Feeds storage utilization,High (P1),Strong Evidence,Verify storage bucket RLS
SYSTEM/GAMIFICATION,SYSTEM,"Badges, points, streaks, redemptions",ALL MODULES,Gamification status to Dashboard,"user_gamification, user_rewards, activity_events",gamificationService,Feeds Svarajya score badge,Not Implemented in Current Build,None,Calculates financial health score,Low (P3),Strong Evidence,Verify badge unlock trigger
