Usage_ID,File_Path,Component_or_Function,Module_Association,Client_Context,API_Pattern,Resource,Operation_or_Method,Purpose,Confidence,Evidence_Notes
SUP-001,src/lib/supabase/client.ts,createClient,All browser auth and storage consumers,Browser,@supabase/ssr,Supabase project,createBrowserClient,Construct browser client from public URL and anon key,Confirmed,"Uses NEXT_PUBLIC_SUPABASE_URL and NEXT_PUBLIC_SUPABASE_ANON_KEY"
SUP-002,src/lib/supabase/server.ts,createClient,Protected API and server auth flows,Server,@supabase/ssr,Supabase project,createServerClient,Construct cookie-aware server client,Confirmed,"Reads and writes Next.js cookies through getAll/setAll"
SUP-003,src/lib/supabase/middleware.ts,updateSession,All non-API matched routes,Server middleware,supabase.auth,Supabase Auth,getUser,Refresh session cookies and enforce route access,Confirmed,"Called by src/middleware.ts; redirects unauthenticated protected routes to /start"
SUP-004,src/lib/middleware/auth.middleware.ts,withAuth,Most protected API modules,Server,supabase.auth,Supabase Auth,getUser,Authenticate API request and synchronize missing Prisma User,Confirmed,"Creates authContext from authUser.id; API middleware is separate from route middleware"
SUP-005,src/components/providers/AuthProvider.tsx,AuthProvider,All routes,Browser,supabase.auth,Supabase Auth,"getSession; onAuthStateChange; signOut",Restore and publish current session and user state,Confirmed,"Provider is mounted by src/app/layout.tsx"
SUP-006,src/components/auth/OAuthFragmentHandler.tsx,OAuthFragmentHandler,Google login and password-link fragments,Browser,supabase.auth,Supabase Auth,setSession,Create a browser session from access_token and refresh_token URL fragments,Confirmed,"Skips type=recovery; then calls /api/profile and routes to onboarding or /rajya"
SUP-007,src/components/shared/AuthSync.tsx,AuthSync,Dashboard and post-auth routing,Browser,supabase.auth,Supabase Auth,getSession,Read session before profile/onboarding redirect logic,Confirmed,"Dashboard protected prefixes bypass redirect and only hydrate OnboardingStore"
SUP-008,src/app/(auth)/start/page.tsx,auth start page default component,Login signup and verification,Browser,supabase.auth,Supabase Auth,"signInWithPassword; getSession; signOut",Email/password login immediate post-signup login attempt and session cleanup,Confirmed,"handle submit lines 353-560; session cleanup lines 212-241"
SUP-009,src/app/(auth)/reset-password/page.tsx,reset password page default component,Password recovery,Browser,supabase.auth,Supabase Auth,"setSession; updateUser; signOut",Establish recovery session update password and clear session,Confirmed,"Direct calls at lines 128 136 and 143"
SUP-010,src/app/(auth)/verify-email/VerifyEmailClient.tsx,VerifyEmailClient,Email verification,Browser,supabase.auth,Supabase Auth,resend,Resend signup confirmation email,Confirmed,"Direct supabase.auth.resend call at line 47"
SUP-011,src/app/(landing)/forget-password/page.tsx,forgot password page default component,Password recovery,Browser,supabase.auth,Supabase Auth,resetPasswordForEmail,Request Supabase password reset email,Confirmed,"Direct call at line 42"
SUP-012,src/app/(onboarding)/onboarding/firstwin/page.tsx,first-win page default component,Foundation onboarding,Browser,supabase.auth,Supabase Auth,updateUser,Set onboarding_completed in user metadata,Confirmed,"Direct updateUser call at line 89"
SUP-013,src/app/(dashboard)/foundation/page.tsx,FoundationHub,Sthapana / Foundation,Browser,supabase.auth,Supabase Auth,"getUser; updateUser",Read user and save/remove profile_photo metadata,Confirmed,"Direct calls at lines 114 133 and 164"
SUP-014,src/app/(dashboard)/foundation/page.tsx,FoundationHub,Sthapana / Foundation,Browser,supabase.storage,Supabase Storage bucket profile-photos,".from(\"profile-photos\").upload; getPublicUrl; remove",Upload expose and delete profile photos,Confirmed,"Storage chains at lines 121-160"
SUP-015,src/components/vault/FileUploader.tsx,FileUploader,"Foundation; Pehchaan; Raksha; Rin; Bhoomi; Kar; Succession; Granthagaar; Vault",Browser,supabase.auth,Supabase Auth,getUser,Require an authenticated user before optional Supabase upload,Confirmed,"Direct getUser call at line 123"
SUP-016,src/components/vault/FileUploader.tsx,FileUploader,"Foundation; Pehchaan; Raksha; Rin; Bhoomi; Kar; Succession; Granthagaar; Vault",Browser,supabase.storage,Dynamic bucket from folder prop,".from(folder).upload; getPublicUrl",Upload a file and persist its public URL in the local Vault record,Confirmed,"Storage chains at lines 130-141; bucket privacy/RLS is not established by this file"
SUP-017,src/components/shared/UserAvatar.tsx,UserAvatar,Suchak/shared profile UI,Browser,supabase.auth,Supabase Auth,getUser,Load current user metadata for avatar display,Confirmed,"Direct getUser call at line 44"
SUP-018,src/components/layouts/DesktopSidebar.tsx,"refreshUser; handleLogout",All dashboard modules on desktop,Browser,supabase.auth,Supabase Auth,"getUser; signOut",Refresh profile metadata and end session,Confirmed,"Direct calls at lines 88 and 119"
SUP-019,src/components/layouts/BottomNav.tsx,handleLogout,All dashboard modules on mobile,Browser,supabase.auth,Supabase Auth,signOut,End session clear client stores and redirect to /start,Confirmed,"Direct call at line 62"
SUP-020,src/components/shared/GlobalTopRightMenu.tsx,handleLogout,All dashboard modules on mobile,Browser,supabase.auth,Supabase Auth,signOut,End session clear local keys and redirect to /start,Confirmed,"Direct call at line 38"
SUP-021,src/components/ui/GlobalTopRightMenu.tsx,handleLogout,Legacy or alternate shared UI,Browser,supabase.auth,Supabase Auth,signOut,End session from duplicate menu implementation,Confirmed,"Direct call at line 32; direct consumer was not established in the current root layout"
SUP-022,src/app/api/profile/route.ts,postHandler,Foundation profile,Server,supabase.auth,Supabase Auth,updateUser,Non-blocking sync of name and phone to Supabase user metadata,Confirmed,"Direct call at line 218 after Prisma profile create/update"
SUP-023,src/app/api/auth/google/route.ts,GET,Google login/link request,Server,supabase.auth,Supabase Auth,getSession,Choose link versus login state before redirecting to Google,Confirmed,"Direct call at line 7"
SUP-024,src/app/api/auth/link-google/route.ts,GET,Google account linking,Server,supabase.auth,Supabase Auth,getSession,Require a session and put user ID in OAuth state,Confirmed,"Direct call at line 7"
SUP-025,src/app/api/auth/google-status/route.ts,GET,Google Drive-linked modules,Server,supabase.auth,Supabase Auth,getSession,Read current Supabase session before checking Prisma googleLinked state,Confirmed,"Direct call at line 8"
SUP-026,src/app/api/auth/google-callback/route.ts,GET,Google login and account linking,Server admin,supabaseAdmin.auth.admin,Supabase Auth admin,"listUsers; createUser; generateLink",Find or create a Supabase user and generate a magic-link session bridge,Confirmed,"Service-role client at lines 7-16; admin calls at lines 179 195 and 233"
SUP-027,src/app/api/auth/send-confirmation/route.ts,POST,Email signup,Server admin,supabaseAdmin.auth.admin,Supabase Auth admin,generateLink,Generate signup confirmation link,Confirmed,"Service-role client and generateLink call at line 35"
SUP-028,src/app/api/auth/send-reset/route.ts,POST,Password recovery,Server admin,supabaseAdmin.auth.admin,Supabase Auth admin,generateLink,Generate password recovery link,Confirmed,"Service-role client and generateLink call at line 21"
SUP-029,src/app/api/google-drive/upload/route.ts,POST,Document-enabled modules,Server,supabase.auth,Supabase Auth,getSession,Authorize Google Drive upload request,Confirmed,"Direct getSession call at line 17; file upload itself uses Google Drive not Supabase Storage"
SUP-030,src/app/api/google-drive/download/route.ts,GET,Document-enabled modules,Server,supabase.auth,Supabase Auth,getSession,Authorize Google Drive download request,Confirmed,"Direct getSession call at line 19"
SUP-031,src/app/api/google-drive/view/route.ts,GET,Document-enabled modules,Server,supabase.auth,Supabase Auth,getSession,Authorize Google Drive view request,Confirmed,"Direct getSession call at line 19"
SUP-032,src/lib/services/userService.ts,"syncUserWithSupabase; delete",Profile and user lifecycle,Server admin,supabaseAdmin.auth.admin,Supabase Auth admin,"getUserById; updateUserById; deleteUser",Synchronize Prisma User metadata to Supabase and remove auth users,Confirmed,"Direct admin calls at lines 191 196 and 227"
SUP-033,<repository-wide scan of src/>,N/A,All modules,Repository scan,".from; .select; .insert; .upsert; .update; .delete; .rpc",Supabase Database tables,No direct Supabase database query chain found,Application relational data is accessed through Prisma in this snapshot,Confirmed,"Requested pattern scan completed; .from matches were Supabase Storage only and other generic method matches belonged to Prisma or non-Supabase objects"
SUP-034,<repository-wide scan of src/>,N/A,All modules,Repository scan,supabase.storage,Supabase Storage,"upload; getPublicUrl; remove",Direct Supabase Storage use is limited to Foundation profile photos and FileUploader optional storage,Confirmed,"Only src/app/(dashboard)/foundation/page.tsx and src/components/vault/FileUploader.tsx contain supabase.storage calls"
