Raw Source Row ID,Source Name,Source File / Sheet,Owner Team,Source Row / Evidence ID,Source Bug ID,Module,Screen / Route,Title,Description / Finding,Raw Severity / Priority,Raw Status,Evidence Reference,Triage Outcome,Triage Reason,Include In Master,Master Candidate ID,Duplicate Candidate
RAW-0001,PM verified bug register,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,PM,2,PM-1,Authentication,/password,Google login restricted to test users (app unverified in Google Cloud),"Standing restriction hit every session: non-test Google accounts get Error 403 access_denied (report screenshot). Entire test effort has run on the registered test account (dummyuser@example.com, email/password) + Skip Verification BECAUSE of this gate. | Re-confirmed as the active operating constraint across 08-07 -> 11-07 sessions; Journey A step 1 records it still blocks NEW Google accounts (2026-07-12). Environmental/config (Google Cloud OAuth consent screen unverified / testers allow-list), not app code. | Config-level, not code. Fix = complete Google OAuth verification / publish consent screen (or keep an explicit testers allow-list). Workaround IN USE: email/password signup works, so the app is still enterable -> P1, not P0. NB: a reviewer reading login=P0 strictly may escalate. Do NOT edit Google auth settings (ground rule 4); route via Jira.",P1,Confirmed,—,Valid bug,PM verified register row retained; WD verification still required.,Yes,BUG-AUTH-001,BUG-AUTH-001
RAW-0002,PM verified bug register,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,PM,3,PM-2,Authentication,/api/auth/send-reset,Password reset link errors; auto-logs-in without resetting,"Run 1 (12-07): send-reset OK (POST /api/auth/send-reset 200). Opened recovery link — token ACCEPTED (Supabase minted a valid session), redirect landed on www.svarajya.com root. Inconclusive on end-state: navigated away too quickly and consumed the single-use token. | Run 2 (12-07, fresh link, clean): followed the link WITHOUT navigating away. (a) Token ACCEPTED — valid session JWT minted for the account (NOT the report's 'Invalid token' error). (b) redirect_to (svarajya.vercel.app/reset-password) IGNORED -> landed on the www.svarajya.com MARKETING landing page (Home/Features/Story/Login), not /reset-password and not /rajya. (c) Tokens sit in the URL fragment but are NEVER consumed: network shows NO token-exchange call, localStorage has no auth keys, UI is logged-out -> NO auto-login. (d) Password never resettable (no reset screen reached). | REPORTED SYMPTOMS NOT REPRODUCED on current production: no 'invalid token' error (token is accepted), and no auto-login/redirect-to-/rajya (the minted session is never consumed at the marketing landing). SECURITY FRAMING CORRECTED: my earlier 'possible auth-bypass / P0' concern does NOT hold — a clean run shows the recovery link does not establish a session on the landing page (no Supabase client there to consume the fragment). Residual security note is minor: a valid bearer JWT is briefly exposed in the URL fragment (history/referrer) — hygiene, not account takeover. THE REAL, REPRODUCIBLE DEFECT is that email password reset is broken end-to-end because the link lands on the marketing root instead of /reset-password — tracked and confirmed as NB-018 (upgraded to P1). Kept at P1 as a cluster member with NB-018 (one fix). Do NOT edit Supabase/auth config (ground rule 4); route via Jira.",P1,Behaviour changed,Same cluster as NB-018 (the live reset-broken defect),Valid bug,PM verified register row retained; WD verification still required.,Yes,BUG-AUTH-002,BUG-AUTH-002
RAW-0003,PM verified bug register,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,PM,4,PM-3,Authentication,/OTP,Hide button spacing off,| | Onboarding step-0 Hide button reachable only via profile-EDIT wizard replay (NB-003) ending at broken OTP (NB-001) — access path itself defective. Retest after wizard/OTP fixes.,Low,Blocked — cannot test,,Valid bug,PM verified register row retained; WD verification still required.,Yes,BUG-AUTH-003,BUG-AUTH-003
RAW-0004,PM verified bug register,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,PM,5,PM-4,Onboarding,/NB-001,Future DOB shows wrong error message,| | Future-DOB message requires wizard DOB step; same defective access path (NB-003/NB-001). Retest after fixes.,Medium,Blocked — cannot test,,Valid bug,PM verified register row retained; WD verification still required.,Yes,BUG-AUTH-003,BUG-AUTH-003
RAW-0005,PM verified bug register,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,PM,6,PM-5,Authentication,/billing-not-enabled,Mobile OTP was static '1234' (dev mode),"Send OTP now fails with Firebase auth/billing-not-enabled (tester-reproduced 08-07, NB-001); static-1234 path unreachable. | Standing state across 08-07 to 11-07 sessions; no dev-mode code observable. | Report described dev-mode static OTP; current build fails earlier at the send step. Verification journey still broken, differently.",P1,Behaviour changed,,Valid bug,PM verified register row retained; WD verification still required.,Yes,BUG-AUTH-004,BUG-AUTH-004
RAW-0006,PM verified bug register,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,PM,7,PM-6,Authentication,/5,Duplicate save buttons in add-member form,"Add-member form open: BOTH Link to Profile and Save & Continue (1/5 members) rendered together (10-07). | Same dual-button state observed and logged 09-07 (prior session, documented). | Two dated observations across two days.",P3,Confirmed,,Valid bug,PM verified register row retained; WD verification still required.,Yes,BUG-AUTH-005,BUG-AUTH-005
RAW-0007,PM verified bug register,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,PM,8,PM-7,Authentication,/5,Duplicate buttons after adding member,"Tree view with 1 member: BOTH Forge New Link (Max 5) and Save & Continue (1/5 members) rendered together (10-07). | Same state observed and logged 09-07 (prior session, documented). |",P3,Confirmed,,Valid bug,PM verified register row retained; WD verification still required.,Yes,BUG-AUTH-006,BUG-AUTH-006
RAW-0008,PM verified bug register,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,PM,9,PM-8,Sthapana / Foundation,/blur,Email accepts only @gmail.com,REVERSAL: tester attempted family member with dummyuser@example.com -> Link to Profile blocked with Only @gmail.com email addresses are allowed (11-07). | Earlier change/blur events produced no message — validation fires at SUBMIT (the exact caveat recorded on 10-07). Original verdict corrected. | INTEGRITY NOTE: previous Behaviour-changed verdict reversed with new evidence; validation is submit-time only (itself a UX note: no inline feedback until submit).,P2,Confirmed,,Valid bug,PM verified register row retained; WD verification still required.,Yes,BUG-PROFILE-001,BUG-PROFILE-001
RAW-0009,PM verified bug register,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,PM,10,PM-9,Authentication,/already-registered,Duplicate/already-registered emails accepted,"| | Duplicate-email scenario currently unconstructible: gmail-only gate (Bug 8) blocks the registered login email, and NB-002 loses stored member emails so no in-system duplicate exists to collide with. Retest after Bug 8/NB-002 fixes.",Medium,Blocked — cannot test,,Valid bug,PM verified register row retained; WD verification still required.,Yes,BUG-AUTH-007,BUG-AUTH-007
RAW-0010,PM verified bug register,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,PM,11,PM-10,Sthapana / Foundation,Needs WD Verification,'Add Another' and 'Save & Continue' shown together,"Both Add Another Qualification and Save & Continue to Dashboard rendered together (11-07, 1 qualification present). | Same dual-button state observed and logged 09-07 after qualification save. | Two dated observations.",P3,Confirmed,,Valid bug,PM verified register row retained; WD verification still required.,Yes,BUG-PROFILE-002,BUG-PROFILE-002
