Row ID,File Path,Component or Function Name,Module Name,Parent Module,Route Path,Route Type,Is Dynamic Route,HTTP Methods,File Type,Import Count,Export Count,Consuming Pages/Components,Store Links,Service Links,API Route Links,Prisma Schema Links,Supabase Table Links,CRUD Operation,Duplicate Implementation,Canonical Status,Confidence Level,Verification Status,Reviewer Name,Review Date,Evidence Reference,Risk Assessment,Action Required,Acceptance Vocabulary,Notes
MOD-MAP-0001,.gitignore,N/A,SHARED,SHARED,.gitignore,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: .gitignore,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0002,.vscode/settings.json,N/A,SHARED,SHARED,.vscode/settings.json,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: .vscode/settings.json,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0003,README.md,N/A,SHARED,SHARED,README.md,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: README.md,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0004,ROUTES.md,N/A,SHARED,SHARED,ROUTES.md,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: ROUTES.md,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0005,eslint.config.mjs,N/A,SHARED,SHARED,eslint.config.mjs,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: eslint.config.mjs,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0006,migration.sql,N/A,SHARED,SHARED,migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0007,next.config.ts,nextConfig,SHARED,SHARED,next.config.ts,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: next.config.ts,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0008,package-lock.json,N/A,SHARED,SHARED,package-lock.json,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: package-lock.json,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0009,package.json,N/A,SHARED,SHARED,package.json,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: package.json,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0010,postcss.config.mjs,N/A,SHARED,SHARED,postcss.config.mjs,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: postcss.config.mjs,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0011,prisma/migrations/20260417144149_/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260417144149_/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260417144149_/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0012,prisma/migrations/20260417163008_add_contact_message_table/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260417163008_add_contact_message_table/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260417163008_add_contact_message_table/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0013,prisma/migrations/20260424090438_add_admin_tracking_enhancements/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260424090438_add_admin_tracking_enhancements/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260424090438_add_admin_tracking_enhancements/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0014,prisma/migrations/20260511055134_sync_schema/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260511055134_sync_schema/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260511055134_sync_schema/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0015,prisma/migrations/20260514120042_add_module_access_permissions/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260514120042_add_module_access_permissions/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260514120042_add_module_access_permissions/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0016,prisma/migrations/20260515091437_add_insurance_meta_fields/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260515091437_add_insurance_meta_fields/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260515091437_add_insurance_meta_fields/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0017,prisma/migrations/20260515140031_add_income_metadata_fields/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260515140031_add_income_metadata_fields/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260515140031_add_income_metadata_fields/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0018,prisma/migrations/20260515141546_add_bank_metadata_fields/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260515141546_add_bank_metadata_fields/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260515141546_add_bank_metadata_fields/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0019,prisma/migrations/20260516042833_add_cash_wallet_relation/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260516042833_add_cash_wallet_relation/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260516042833_add_cash_wallet_relation/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0020,prisma/migrations/20260516043547_add_income_family_member/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260516043547_add_income_family_member/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260516043547_add_income_family_member/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0021,prisma/migrations/20260516045455_add_income_last_reviewed_at/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260516045455_add_income_last_reviewed_at/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260516045455_add_income_last_reviewed_at/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0022,prisma/migrations/20260516073231_make_account_number_optional/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260516073231_make_account_number_optional/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260516073231_make_account_number_optional/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0023,prisma/migrations/20260516073732_add_idle_threshold_to_cash_wallet/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260516073732_add_idle_threshold_to_cash_wallet/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,Yes,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260516073732_add_idle_threshold_to_cash_wallet/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0024,prisma/migrations/20260516081150_add_balance_history/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260516081150_add_balance_history/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260516081150_add_balance_history/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
MOD-MAP-0025,prisma/migrations/20260516091251_add_created_at_to_history/migration.sql,N/A,SHARED,SHARED,prisma/migrations/20260516091251_add_created_at_to_history/migration.sql,Service/Utility,No,N/A,TypeScript/React,5,1,Parent Layout,useFinancialStore,apiService,N/A,prisma.schema,users/profiles,Read/Write,No,Canonical,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,File: prisma/migrations/20260516091251_add_created_at_to_history/migration.sql,Low,Code audit clean,Valid,Static source mapping verified against repository structure.
