Master Bug ID,Source Bug ID,Source File / Sheet,Source Row / Evidence ID,Module,Screen / Route,Bug Title,Bug Description,Bug Type,Severity,Priority Reason,Reproduction Status,Reproduction Steps,Expected Result,Actual Result,Evidence Available,Evidence Link / Evidence ID,Likely Page / Component File,Likely Hook / Store / Service File,Likely API Route,Likely Supabase Table,Likely DB Field,Related Modules,Dashboard Impact,Reminder Impact,Document Vault Impact,Auth / Security Impact,Data Loss Risk,Calculation Risk,Duplicate Status,Duplicate Of,Technical Confidence,AI Confidence Reason,Needs WD Verification,Suggested Jira Issue Type,Suggested Jira Title,Recommended Next Action,Assigned To,Status,Notes
BUG-AUTH-001,PM-1,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,2,Authentication,/password,Google login restricted to test users (app unverified in Google Cloud),"Standing restriction hit every session: non-test Google accounts get Error 403 access_denied (report screenshot). Entire test effort has run on the registered test account (dummyuser@example.com, email/password) + Skip Verification BECAUSE of this gate. | Re-confirmed as the active operating constraint across 08-07 -> 11-07 sessions; Journey A step 1 records it still blocks NEW Google accounts (2026-07-12). Environmental/config (Google Cloud OAuth consent screen unverified / testers allow-list), not app code. | Config-level, not code. Fix = complete Google OAuth verification / publish consent screen (or keep an explicit testers allow-list). Workaround IN USE: email/password signup works, so the app is still enterable -> P1, not P0. NB: a reviewer reading login=P0 strictly may escalate. Do NOT edit Google auth settings (ground rule 4); route via Jira.",Auth,P1,Important user journey or shared module behavior may be blocked or materially degraded.,Reproduced Twice,See source row/evidence; reproduce with dummy data only in isolated environment.,"User should authenticate, recover account, or complete auth callback through the intended route without unsafe session behavior.","Standing restriction hit every session: non-test Google accounts get Error 403 access_denied (report screenshot). Entire test effort has run on the registered test account (dummyuser@example.com, email/password) + Skip Verification BECAUSE of this gate. | Re-confirmed as the active operating constraint across 08-07 -> 11-07 sessions; Journey A step 1 records it still blocks NEW Google accounts (2026-07-12). Environmental/config (Google Cloud OAuth consent screen unverified / testers allow-list), not app code. | Config-level, not code. Fix = complete Google OAuth verification / publish consent screen (or keep an explicit testers allow-list). Workaround IN USE: email/password signup works, so",Yes,—,src/app/(dashboard)/foundation/page.tsx,userService; educationService; familyService; OnboardingStore,/api/profile; /api/education; /api/family,Prisma User/Education/FamilyMember; Supabase Auth metadata and profile-photos Storage; local Vault,Needs WD Verification,Authentication,No,No,No,Yes,Low,No,Parent Bug,,Strong Evidence,Source evidence reports Reproduced Twice; technical/root-cause verification remains pending.,Yes,Bug,[Authentication] Google login restricted to test users (app unverified in Google Cloud),Needs Auth Review,Pending WD Assignment,Draft,Triage: Valid bug. No explicit Himanshu/Harsh verification evidence found.
BUG-AUTH-002,PM-2,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,3,Authentication,/api/auth/send-reset,Password reset link errors; auto-logs-in without resetting,"Run 1 (12-07): send-reset OK (POST /api/auth/send-reset 200). Opened recovery link — token ACCEPTED (Supabase minted a valid session), redirect landed on www.svarajya.com root. Inconclusive on end-state: navigated away too quickly and consumed the single-use token. | Run 2 (12-07, fresh link, clean): followed the link WITHOUT navigating away. (a) Token ACCEPTED — valid session JWT minted for the account (NOT the report's 'Invalid token' error). (b) redirect_to (svarajya.vercel.app/reset-password) IGNORED -> landed on the www.svarajya.com MARKETING landing page (Home/Features/Story/Login), not /reset-password and not /rajya. (c) Tokens sit in the URL fragment but are NEVER consumed: network shows NO token-exchange call, localStorage has no auth keys, UI is logged-out -> NO auto-login. (d) Password never resettable (no reset screen reached). | REPORTED SYMPTOMS NOT REPRODUCED on current production: no 'invalid token' error (token is accepted), and no auto-login/redirect-to-/rajya (the minted session is never consumed at the marketing landing). SECURITY FRAMING CORRECTED: my earlier 'possible auth-bypass / P0' concern does NOT hold — a clean run shows the recovery link does not establish a session on the landing page (no Supabase client there to consume the fragment). Residual security note is minor: a valid bearer JWT is briefly exposed in the URL fragment (history/referrer) — hygiene, not account takeover. THE REAL, REPRODUCIBLE DEFECT is that email password reset is broken end-to-end because the link lands on the marketing root instead of /reset-password — tracked and confirmed as NB-018 (upgraded to P1). Kept at P1 as a cluster member with NB-018 (one fix). Do NOT edit Supabase/auth config (ground rule 4); route via Jira.",Auth,P1,Important user journey or shared module behavior may be blocked or materially degraded.,Reproduced Once,See source row/evidence; reproduce with dummy data only in isolated environment.,"User should authenticate, recover account, or complete auth callback through the intended route without unsafe session behavior.","Run 1 (12-07): send-reset OK (POST /api/auth/send-reset 200). Opened recovery link — token ACCEPTED (Supabase minted a valid session), redirect landed on www.svarajya.com root. Inconclusive on end-state: navigated away too quickly and consumed the single-use token. | Run 2 (12-07, fresh link, clean): followed the link WITHOUT navigating away. (a) Token ACCEPTED — valid session JWT minted for the account (NOT the report's 'Invalid token' error). (b) redirect_to (svarajya.vercel.app/reset-password) IGNORED -> landed on the www.svarajya.com MARKETING landing page (Home/Features/Story/Login), not /reset-password and not /rajya. (c) Tokens sit in the URL fragment but are NEVER consumed: network s",Yes,Same cluster as NB-018 (the live reset-broken defect),src/app/(dashboard)/foundation/page.tsx,userService; educationService; familyService; OnboardingStore,/api/profile; /api/education; /api/family,Prisma User/Education/FamilyMember; Supabase Auth metadata and profile-photos Storage; local Vault,Needs WD Verification,Authentication,No,No,No,Yes,Low,No,Parent Bug,,Strong Evidence,Source evidence reports Reproduced Once; technical/root-cause verification remains pending.,Yes,Bug,[Authentication] Password reset link errors; auto-logs-in without resetting,Needs Auth Review,Pending WD Assignment,Draft,Triage: Valid bug. No explicit Himanshu/Harsh verification evidence found.
BUG-AUTH-003,PM-3,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,4,Authentication,/OTP,Hide button spacing off,| | Onboarding step-0 Hide button reachable only via profile-EDIT wizard replay (NB-003) ending at broken OTP (NB-001) — access path itself defective. Retest after wizard/OTP fixes.,Auth,P3,"Primarily UI, wording, layout, or lower-risk usability issue unless WD evidence shows deeper impact.",Cannot Reproduce,See source row/evidence; reproduce with dummy data only in isolated environment.,"User should authenticate, recover account, or complete auth callback through the intended route without unsafe session behavior.",| | Onboarding step-0 Hide button reachable only via profile-EDIT wizard replay (NB-003) ending at broken OTP (NB-001) — access path itself defective. Retest after wizard/OTP fixes.,Yes,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,src/app/(dashboard)/foundation/page.tsx,userService; educationService; familyService; OnboardingStore,/api/profile; /api/education; /api/family,Prisma User/Education/FamilyMember; Supabase Auth metadata and profile-photos Storage; local Vault,Needs WD Verification,Needs WD Verification,No,No,No,Yes,Low,No,Parent Bug,,Probable,"Static mapping or pattern suggests a risk, but reproduction or direct root-cause proof is incomplete.",Yes,Bug,[Authentication] Hide button spacing off,Needs Auth Review,Pending WD Assignment,Draft,Triage: Valid bug. No explicit Himanshu/Harsh verification evidence found.
BUG-AUTH-003,PM-4,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,5,Onboarding,/NB-001,Future DOB shows wrong error message,| | Future-DOB message requires wizard DOB step; same defective access path (NB-003/NB-001). Retest after fixes.,Validation,P2,"Feature can work but may save, display, calculate, or connect data incorrectly.",Cannot Reproduce,See source row/evidence; reproduce with dummy data only in isolated environment.,Invalid input should be blocked with clear field-level feedback.,| | Future-DOB message requires wizard DOB step; same defective access path (NB-003/NB-001). Retest after fixes.,Yes,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,src/app/(dashboard)/suchak/page.tsx,IdentityStore/IncomeStore/ExpenseStore/BankStore/OnboardingStore/ThemeStore under src/lib/stores,/api/bank through bankApi,Browser stores plus bank API summary,Needs WD Verification,Needs WD Verification,No,No,No,No,Low,No,Possible Duplicate,BUG-AUTH-003,Probable,"Static mapping or pattern suggests a risk, but reproduction or direct root-cause proof is incomplete.",Yes,Bug,[Onboarding] Future DOB shows wrong error message,Create Jira Bug,Pending WD Assignment,Draft,Triage: Valid bug. No explicit Himanshu/Harsh verification evidence found.
BUG-AUTH-004,PM-5,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,6,Authentication,/billing-not-enabled,Mobile OTP was static '1234' (dev mode),"Send OTP now fails with Firebase auth/billing-not-enabled (tester-reproduced 08-07, NB-001); static-1234 path unreachable. | Standing state across 08-07 to 11-07 sessions; no dev-mode code observable. | Report described dev-mode static OTP; current build fails earlier at the send step. Verification journey still broken, differently.",Auth,P1,Important user journey or shared module behavior may be blocked or materially degraded.,Needs WD Verification,See source row/evidence; reproduce with dummy data only in isolated environment.,"User should authenticate, recover account, or complete auth callback through the intended route without unsafe session behavior.","Send OTP now fails with Firebase auth/billing-not-enabled (tester-reproduced 08-07, NB-001); static-1234 path unreachable. | Standing state across 08-07 to 11-07 sessions; no dev-mode code observable. | Report described dev-mode static OTP; current build fails earlier at the send step. Verification journey still broken, differently.",Yes,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,src/app/(dashboard)/foundation/page.tsx,userService; educationService; familyService; OnboardingStore,/api/profile; /api/education; /api/family,Prisma User/Education/FamilyMember; Supabase Auth metadata and profile-photos Storage; local Vault,Needs WD Verification,Authentication,No,No,No,Yes,Low,No,Parent Bug,,Unconfirmed,"Source row/report exists, but current live reproduction, code proof, or WD verification is missing.",Yes,Bug,[Authentication] Mobile OTP was static '1234' (dev mode),Needs Auth Review,Pending WD Assignment,Draft,Triage: Valid bug. No explicit Himanshu/Harsh verification evidence found.
BUG-AUTH-005,PM-6,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,7,Authentication,/5,Duplicate save buttons in add-member form,"Add-member form open: BOTH Link to Profile and Save & Continue (1/5 members) rendered together (10-07). | Same dual-button state observed and logged 09-07 (prior session, documented). | Two dated observations across two days.",Auth,P3,"Primarily UI, wording, layout, or lower-risk usability issue unless WD evidence shows deeper impact.",Reproduced Once,See source row/evidence; reproduce with dummy data only in isolated environment.,"User should authenticate, recover account, or complete auth callback through the intended route without unsafe session behavior.","Add-member form open: BOTH Link to Profile and Save & Continue (1/5 members) rendered together (10-07). | Same dual-button state observed and logged 09-07 (prior session, documented). | Two dated observations across two days.",Yes,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,src/app/(dashboard)/foundation/page.tsx,userService; educationService; familyService; OnboardingStore,/api/profile; /api/education; /api/family,Prisma User/Education/FamilyMember; Supabase Auth metadata and profile-photos Storage; local Vault,Needs WD Verification,Document Vault,No,No,No,Yes,Low,No,Parent Bug,,Strong Evidence,Source evidence reports Reproduced Once; technical/root-cause verification remains pending.,Yes,Bug,[Authentication] Duplicate save buttons in add-member form,Needs Auth Review,Pending WD Assignment,Draft,Triage: Valid bug. No explicit Himanshu/Harsh verification evidence found.
BUG-AUTH-006,PM-7,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,8,Authentication,/5,Duplicate buttons after adding member,"Tree view with 1 member: BOTH Forge New Link (Max 5) and Save & Continue (1/5 members) rendered together (10-07). | Same state observed and logged 09-07 (prior session, documented). |",Auth,P3,"Primarily UI, wording, layout, or lower-risk usability issue unless WD evidence shows deeper impact.",Reproduced Once,See source row/evidence; reproduce with dummy data only in isolated environment.,"User should authenticate, recover account, or complete auth callback through the intended route without unsafe session behavior.","Tree view with 1 member: BOTH Forge New Link (Max 5) and Save & Continue (1/5 members) rendered together (10-07). | Same state observed and logged 09-07 (prior session, documented). |",Yes,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,src/app/(dashboard)/foundation/page.tsx,userService; educationService; familyService; OnboardingStore,/api/profile; /api/education; /api/family,Prisma User/Education/FamilyMember; Supabase Auth metadata and profile-photos Storage; local Vault,Needs WD Verification,Document Vault,No,No,No,Yes,Low,No,Parent Bug,,Strong Evidence,Source evidence reports Reproduced Once; technical/root-cause verification remains pending.,Yes,Bug,[Authentication] Duplicate buttons after adding member,Needs Auth Review,Pending WD Assignment,Draft,Triage: Valid bug. No explicit Himanshu/Harsh verification evidence found.
BUG-PROFILE-001,PM-8,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,9,Sthapana / Foundation,/blur,Email accepts only @gmail.com,REVERSAL: tester attempted family member with dummyuser@example.com -> Link to Profile blocked with Only @gmail.com email addresses are allowed (11-07). | Earlier change/blur events produced no message — validation fires at SUBMIT (the exact caveat recorded on 10-07). Original verdict corrected. | INTEGRITY NOTE: previous Behaviour-changed verdict reversed with new evidence; validation is submit-time only (itself a UX note: no inline feedback until submit).,Save/Create,P2,"Feature can work but may save, display, calculate, or connect data incorrectly.",Reproduced Once,See source row/evidence; reproduce with dummy data only in isolated environment.,Record should save once to the authoritative persistence layer and be visible after refresh/re-login.,REVERSAL: tester attempted family member with dummyuser@example.com -> Link to Profile blocked with Only @gmail.com email addresses are allowed (11-07). | Earlier change/blur events produced no message — validation fires at SUBMIT (the exact caveat recorded on 10-07). Original verdict corrected. | INTEGRITY NOTE: previous Behaviour-changed verdict reversed with new evidence; validation is submit-time only (itself a UX note: no inline feedback until submit).,Yes,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,src/app/(dashboard)/dwaar/portals/page.tsx,credentialService; CredentialStore; IdentityStore,/api/credentials; /api/credentials/[id]; /api/profile,Prisma CredentialRecord; browser client stores,name,Auth; Rin; Raksha; Most user-owned modules,Possible,Possible,Possible,No,Low,No,Parent Bug,,Strong Evidence,Source evidence reports Reproduced Once; technical/root-cause verification remains pending.,Yes,Bug,[Sthapana / Foundation] Email accepts only @gmail.com,Create Jira Bug,Pending WD Assignment,Draft,Triage: Valid bug. No explicit Himanshu/Harsh verification evidence found.
BUG-AUTH-007,PM-9,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,10,Authentication,/already-registered,Duplicate/already-registered emails accepted,"| | Duplicate-email scenario currently unconstructible: gmail-only gate (Bug 8) blocks the registered login email, and NB-002 loses stored member emails so no in-system duplicate exists to collide with. Retest after Bug 8/NB-002 fixes.",Auth,P2,"Feature can work but may save, display, calculate, or connect data incorrectly.",Cannot Reproduce,See source row/evidence; reproduce with dummy data only in isolated environment.,"User should authenticate, recover account, or complete auth callback through the intended route without unsafe session behavior.","| | Duplicate-email scenario currently unconstructible: gmail-only gate (Bug 8) blocks the registered login email, and NB-002 loses stored member emails so no in-system duplicate exists to collide with. Retest after Bug 8/NB-002 fixes.",Yes,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,src/app/(dashboard)/foundation/page.tsx,userService; educationService; familyService; OnboardingStore,/api/profile; /api/education; /api/family,Prisma User/Education/FamilyMember; Supabase Auth metadata and profile-photos Storage; local Vault,Needs WD Verification,Needs WD Verification,No,No,No,Yes,Low,No,Parent Bug,,Probable,"Static mapping or pattern suggests a risk, but reproduction or direct root-cause proof is incomplete.",Yes,Bug,[Authentication] Duplicate/already-registered emails accepted,Needs Auth Review,Pending WD Assignment,Draft,Triage: Valid bug. No explicit Himanshu/Harsh verification evidence found.
BUG-PROFILE-002,PM-10,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,11,Sthapana / Foundation,Needs WD Verification,'Add Another' and 'Save & Continue' shown together,"Both Add Another Qualification and Save & Continue to Dashboard rendered together (11-07, 1 qualification present). | Same dual-button state observed and logged 09-07 after qualification save. | Two dated observations.",Save/Create,P3,"Primarily UI, wording, layout, or lower-risk usability issue unless WD evidence shows deeper impact.",Reproduced Once,See source row/evidence; reproduce with dummy data only in isolated environment.,Record should save once to the authoritative persistence layer and be visible after refresh/re-login.,"Both Add Another Qualification and Save & Continue to Dashboard rendered together (11-07, 1 qualification present). | Same dual-button state observed and logged 09-07 after qualification save. | Two dated observations.",Yes,audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv,src/app/(dashboard)/dwaar/portals/page.tsx,credentialService; CredentialStore; IdentityStore,/api/credentials; /api/credentials/[id]; /api/profile,Prisma CredentialRecord; browser client stores,name,Auth; Rin; Raksha; Most user-owned modules; Dashboard,Possible,Possible,Possible,No,Low,No,Parent Bug,,Strong Evidence,Source evidence reports Reproduced Once; technical/root-cause verification remains pending.,Yes,Bug,[Sthapana / Foundation] 'Add Another' and 'Save & Continue' shown together,Create Jira Bug,Pending WD Assignment,Draft,Triage: Valid bug. No explicit Himanshu/Harsh verification evidence found.
