Route ID,File Path,File Name,Route Type,Is Dynamic
RTE-001,app/layout.tsx,layout.tsx,Layout,No
RTE-002,app/(auth)/layout.tsx,layout.tsx,Layout,No
RTE-003,app/(auth)/callback/route.ts,route.ts,API Route,No
RTE-004,app/(auth)/intro-cinematic/page.tsx,page.tsx,Page,No
RTE-005,app/(auth)/reset-password/page.tsx,page.tsx,Page,No
RTE-006,app/(auth)/start/page.tsx,page.tsx,Page,No
RTE-007,app/(auth)/verify-email/page.tsx,page.tsx,Page,No
RTE-008,app/(dashboard)/layout.tsx,layout.tsx,Layout,No
RTE-009,app/(dashboard)/beej/page.tsx,page.tsx,Page,No
RTE-010,app/(dashboard)/bhoomi/page.tsx,page.tsx,Page,No
RTE-011,app/(dashboard)/bhoomi/add/page.tsx,page.tsx,Page,No
RTE-012,app/(dashboard)/bhoomi/[id]/edit/page.tsx,page.tsx,Page,Yes
RTE-013,app/(dashboard)/doot/page.tsx,page.tsx,Page,No
RTE-014,app/(dashboard)/dwaar/portals/page.tsx,page.tsx,Page,No
RTE-015,app/(dashboard)/dwaar/portals/access/page.tsx,page.tsx,Page,No
RTE-016,app/(dashboard)/dwaar/portals/add/page.tsx,page.tsx,Page,No
RTE-017,app/(dashboard)/dwaar/portals/portal/[id]/page.tsx,page.tsx,Page,Yes
RTE-018,app/(dashboard)/foundation/page.tsx,page.tsx,Page,No
RTE-019,app/(dashboard)/foundation/education/page.tsx,page.tsx,Page,No
RTE-020,app/(dashboard)/foundation/education/[id]/edit/page.tsx,page.tsx,Page,Yes
RTE-021,app/(dashboard)/foundation/family/page.tsx,page.tsx,Page,No
RTE-022,app/(dashboard)/granthagaar/page.tsx,page.tsx,Page,No
RTE-023,app/(dashboard)/kar/page.tsx,page.tsx,Page,No
RTE-024,app/(dashboard)/kar/din/page.tsx,page.tsx,Page,No
RTE-025,app/(dashboard)/kar/din/new/page.tsx,page.tsx,Page,No
RTE-026,app/(dashboard)/kar/din/[id]/edit/page.tsx,page.tsx,Page,Yes
RTE-027,app/(dashboard)/kar/gst/page.tsx,page.tsx,Page,No
RTE-028,app/(dashboard)/kar/gst/new/page.tsx,page.tsx,Page,No
RTE-029,app/(dashboard)/kar/gst/[id]/edit/page.tsx,page.tsx,Page,Yes
RTE-030,app/(dashboard)/kar/itr/page.tsx,page.tsx,Page,No
RTE-031,app/(dashboard)/kar/itr/new/page.tsx,page.tsx,Page,No
RTE-032,app/(dashboard)/kar/itr/[id]/edit/page.tsx,page.tsx,Page,Yes
RTE-033,app/(dashboard)/khate/accounts/page.tsx,page.tsx,Page,No
RTE-034,app/(dashboard)/khate/accounts/add/page.tsx,page.tsx,Page,No
RTE-035,app/(dashboard)/khate/accounts/cash/page.tsx,page.tsx,Page,No
RTE-036,app/(dashboard)/khate/accounts/flow/page.tsx,page.tsx,Page,No
RTE-037,app/(dashboard)/khate/accounts/idle/page.tsx,page.tsx,Page,No
RTE-038,app/(dashboard)/khate/accounts/[id]/edit/page.tsx,page.tsx,Page,Yes
RTE-039,app/(dashboard)/khate/cash/page.tsx,page.tsx,Page,No
RTE-040,app/(dashboard)/khate/cash-flow/page.tsx,page.tsx,Page,No
RTE-041,app/(dashboard)/khate/idle-detection/page.tsx,page.tsx,Page,No
RTE-042,app/(dashboard)/kosh/page.tsx,page.tsx,Page,No
RTE-043,app/(dashboard)/kosh/add/page.tsx,page.tsx,Page,No
RTE-044,app/(dashboard)/kosh/analytics/page.tsx,page.tsx,Page,No
RTE-045,app/(dashboard)/kosh/dependency/page.tsx,page.tsx,Page,No
RTE-046,app/(dashboard)/kosh/disposable/page.tsx,page.tsx,Page,No
RTE-047,app/(dashboard)/kosh/income/page.tsx,page.tsx,Page,No
RTE-048,app/(dashboard)/kosh/income/[id]/edit/page.tsx,page.tsx,Page,Yes
RTE-049,app/(dashboard)/kosh/record/[id]/page.tsx,page.tsx,Page,Yes
RTE-050,app/(dashboard)/kosh/sources/page.tsx,page.tsx,Page,No
RTE-051,app/(dashboard)/kosh/sources/add/page.tsx,page.tsx,Page,No
RTE-052,app/(dashboard)/lakshya/page.tsx,page.tsx,Page,No
RTE-053,app/(dashboard)/leakage/page.tsx,page.tsx,Page,No
RTE-054,app/(dashboard)/leakage/subscriptions/page.tsx,page.tsx,Page,No
RTE-055,app/(dashboard)/mantri/page.tsx,page.tsx,Page,No
RTE-056,app/(dashboard)/mitra/page.tsx,page.tsx,Page,No
RTE-057,app/(dashboard)/mitra/assets/page.tsx,page.tsx,Page,No
RTE-058,app/(dashboard)/mitra/will/page.tsx,page.tsx,Page,No
RTE-059,app/(dashboard)/notifications/page.tsx,page.tsx,Page,No
RTE-060,app/(dashboard)/pehchaan/mapping/page.tsx,page.tsx,Page,No
RTE-061,app/(dashboard)/pehchaan/mapping/add/page.tsx,page.tsx,Page,No
RTE-062,app/(dashboard)/pehchaan/records/page.tsx,page.tsx,Page,No
RTE-063,app/(dashboard)/pehchaan/records/add/page.tsx,page.tsx,Page,No
RTE-064,app/(dashboard)/pehchaan/records/doc/[id]/page.tsx,page.tsx,Page,Yes
RTE-065,app/(dashboard)/pehchaan/records/links/page.tsx,page.tsx,Page,No
RTE-066,app/(dashboard)/pehchaan/records/links/add/page.tsx,page.tsx,Page,No
RTE-067,app/(dashboard)/pehchaan/records/renewals/page.tsx,page.tsx,Page,No
RTE-068,app/(dashboard)/pehchaan/records/settings/page.tsx,page.tsx,Page,No
RTE-069,app/(dashboard)/pehchaan/records/[id]/edit/page.tsx,page.tsx,Page,Yes
RTE-070,app/(dashboard)/pehchaan/settings/page.tsx,page.tsx,Page,No
RTE-071,app/(dashboard)/pehchaan/validity/page.tsx,page.tsx,Page,No
RTE-072,app/(dashboard)/raj-mantri/page.tsx,page.tsx,Page,No
