Route,Route Group,Page File,Layout File,Default Component,Module Association,Direct Local Imports,Transitive Source Files,API Route Literals,Matched API Route Files,Hooks / Stores / Contexts,Services,Database Tables,Fields Read / Written,Supabase Evidence,Form Evidence,Display Evidence,Navigation Reference Count,Module Status,Duplicate / Old Risk,Confidence,Needs WD Verification,Evidence
/,(landing),src/app/(landing)/page.tsx,src/app/(landing)/layout.tsx,LandingPage,Public Website / Landing,src/components/landing/ui/Button.tsx; src/components/landing/ui/Card.tsx; src/components/landing/ui/Badge.tsx; src/components/landing/ui/ProgressRing.tsx; src/components/landing/ZoneFloatingGrid.tsx; src/context/landing/LanguageContext.tsx; src/components/landing/Navbar.tsx; src/components/landing/Footer.tsx,src/app/(landing)/page.tsx; src/components/landing/ui/Button.tsx; src/components/landing/ui/Card.tsx; src/components/landing/ui/Badge.tsx; src/components/landing/ui/ProgressRing.tsx; src/components/landing/ZoneFloatingGrid.tsx; src/context/landing/LanguageContext.tsx; src/components/landing/Navbar.tsx; src/components/landing/Footer.tsx; src/lib/landing/cn.ts,None found in traced files,None found in traced files,src/context/landing/LanguageContext.tsx,None found in traced files,Needs WD Verification - no direct table evidence found for this route,Needs WD Verification - no direct field-map row found in traced files,None found in traced files,No distinct form component found in this route,LandingPage; CreditCard; Card; Badge,248,Implemented,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,Probable,Yes,src/app/(landing)/page.tsx; src/app/(landing)/layout.tsx; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv
/about,(landing),src/app/(landing)/about/page.tsx,src/app/(landing)/layout.tsx,AboutPage,Public Website / Landing,src/components/landing/Navbar.tsx; src/components/landing/Footer.tsx,src/app/(landing)/about/page.tsx; src/components/landing/Navbar.tsx; src/components/landing/Footer.tsx; src/components/landing/ui/Button.tsx; src/context/landing/LanguageContext.tsx; src/lib/landing/cn.ts,None found in traced files,None found in traced files,src/context/landing/LanguageContext.tsx,None found in traced files,Needs WD Verification - no direct table evidence found for this route,Needs WD Verification - no direct field-map row found in traced files,None found in traced files,No distinct form component found in this route,No distinct display/list component found in this route,3,Implemented,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,Probable,Yes,src/app/(landing)/about/page.tsx; src/app/(landing)/layout.tsx; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv
/auth/google/success,ungrouped,src/app/auth/google/success/page.tsx,src/app/layout.tsx,Page,Authentication,None found in traced files,src/app/auth/google/success/page.tsx,None found in traced files,None found in traced files,None found in traced files,None found in traced files,Needs WD Verification - no direct table evidence found for this route,Needs WD Verification - no direct field-map row found in traced files,None found in traced files,No distinct form component found in this route,No distinct display/list component found in this route,0,Implemented,"No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions. Static route-literal search found no reference outside the page file; dynamic navigation is possible, so linkage Needs WD Verification.",Unconfirmed,Yes,src/app/auth/google/success/page.tsx; src/app/layout.tsx; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv
/beej,(dashboard),src/app/(dashboard)/beej/page.tsx,src/app/(dashboard)/layout.tsx,BeejPage,Beej / Investments,None found in traced files,src/app/(dashboard)/beej/page.tsx,None found in traced files,None found in traced files,None found in traced files,None found in traced files,investment_holdings (module-level dependency evidence; Needs WD Verification for this route),Needs WD Verification - no direct field-map row found in traced files,None found in traced files,No distinct form component found in this route,No distinct display/list component found in this route,2,Placeholder,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,Probable,Yes,src/app/(dashboard)/beej/page.tsx; src/app/(dashboard)/layout.tsx; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/01-database-structure/schema.sql; audit-input/01-database-structure/database.types.ts; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv
/bhoomi,(dashboard),src/app/(dashboard)/bhoomi/page.tsx,src/app/(dashboard)/layout.tsx,BhoomiPage,Bhoomi / Property,src/components/ui/ConfirmModal.tsx; src/lib/stores/notificationStore.ts; src/lib/vault.ts; src/components/ui/PageGuide.tsx; src/components/ui/VideoTutorialPlaceholder.tsx,src/app/(dashboard)/bhoomi/page.tsx; src/components/ui/ConfirmModal.tsx; src/lib/stores/notificationStore.ts; src/lib/vault.ts; src/components/ui/PageGuide.tsx; src/components/ui/VideoTutorialPlaceholder.tsx; src/lib/localVaultEngine.ts; src/app/api/bhoomi/properties/route.ts; src/app/api/bhoomi/properties/[id]/route.ts; src/app/api/notifications/route.ts; src/app/api/notifications/[id]/route.ts; src/app/api/notifications/read-all/route.ts; src/app/api/google-drive/upload/route.ts; src/app/api/google-drive/download/route.ts; src/lib/services/bhoomiService.ts; src/lib/middleware/auth.middleware.ts; src/lib/middleware/error.middleware.ts; src/lib/middleware/standardResponse.ts; src/lib/services/notificationService.ts; src/lib/supabase/server.ts; src/lib/googleAuth.ts; src/lib/prisma.ts; src/lib/services/baseService.ts,/api/bhoomi/properties; /api/bhoomi/properties/[id]; /api/notifications; /api/notifications/[id]; /api/notifications/read-all; /api/google-drive/upload; /api/google-drive/download,src/app/api/bhoomi/properties/route.ts; src/app/api/bhoomi/properties/[id]/route.ts; src/app/api/notifications/route.ts; src/app/api/notifications/[id]/route.ts; src/app/api/notifications/read-all/route.ts; src/app/api/google-drive/upload/route.ts; src/app/api/google-drive/download/route.ts,src/lib/stores/notificationStore.ts,src/lib/services/bhoomiService.ts; src/lib/services/notificationService.ts; src/lib/services/baseService.ts,property_assets; users; insurance_policies; notifications; budget_plans; expense_entries; bank_accounts; subscriptions; identity_records; will_status; loan_accounts; goals; income_streams,Needs WD Verification - no direct field-map row found in traced files,src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser; src/app/api/google-drive/upload/route.ts: supabase.auth Supabase Auth getSession; src/app/api/google-drive/download/route.ts: supabase.auth Supabase Auth getSession,No distinct form component found in this route,BhoomiPage,6,Partially Implemented,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,Strong Evidence,Yes,src/app/(dashboard)/bhoomi/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/bhoomi/properties/route.ts; src/app/api/bhoomi/properties/[id]/route.ts; src/app/api/notifications/route.ts; src/app/api/notifications/[id]/route.ts; src/app/api/notifications/read-all/route.ts; src/app/api/google-drive/upload/route.ts; src/app/api/google-drive/download/route.ts; src/lib/services/bhoomiService.ts; src/lib/services/notificationService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/01-database-structure/schema.sql; audit-input/01-database-structure/database.types.ts; audit-input/02-existing-team-outputs/2026-07-19_MODULE_CRUD_TRACE.csv; +3 more
/bhoomi/[id]/edit,(dashboard),src/app/(dashboard)/bhoomi/[id]/edit/page.tsx,src/app/(dashboard)/layout.tsx,EditBhoomiPropertyPage,Bhoomi / Property,src/lib/stores/notificationStore.ts; src/components/vault/FileUploader.tsx,src/app/(dashboard)/bhoomi/[id]/edit/page.tsx; src/lib/stores/notificationStore.ts; src/components/vault/FileUploader.tsx; src/lib/vault.ts; src/lib/cloudDriveSync.ts; src/lib/supabase/client.ts; src/components/providers/ToastProvider.tsx; src/lib/localVaultEngine.ts; src/app/api/bhoomi/properties/route.ts; src/app/api/loans/route.ts; src/app/api/bhoomi/properties/[id]/route.ts; src/app/api/notifications/route.ts; src/app/api/notifications/[id]/route.ts; src/app/api/notifications/read-all/route.ts; src/app/api/family/route.ts; src/app/api/google-drive/upload/route.ts; src/app/api/google-drive/download/route.ts; src/lib/services/bhoomiService.ts; src/lib/middleware/auth.middleware.ts; src/lib/middleware/error.middleware.ts; src/lib/middleware/standardResponse.ts; src/lib/services/loanService.ts; src/lib/services/incomeService.ts; src/lib/services/notificationService.ts; src/lib/services/familyService.ts; src/lib/prisma.ts; src/lib/types/api.types.ts; src/lib/supabase/server.ts; src/lib/googleAuth.ts; src/lib/services/baseService.ts,/api/bhoomi/properties; /api/loans; /api/bhoomi/properties/[id]; /api/notifications; /api/notifications/[id]; /api/notifications/read-all; /api/family; /api/google-drive/upload; /api/google-drive/download,src/app/api/bhoomi/properties/route.ts; src/app/api/loans/route.ts; src/app/api/bhoomi/properties/[id]/route.ts; src/app/api/notifications/route.ts; src/app/api/notifications/[id]/route.ts; src/app/api/notifications/read-all/route.ts; src/app/api/family/route.ts; src/app/api/google-drive/upload/route.ts; src/app/api/google-drive/download/route.ts,src/lib/stores/notificationStore.ts,src/lib/services/bhoomiService.ts; src/lib/services/loanService.ts; src/lib/services/incomeService.ts; src/lib/services/notificationService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts,users; property_assets; loan_accounts; income_streams; insurance_policies; notifications; budget_plans; expense_entries; bank_accounts; subscriptions; identity_records; will_status; goals; family_members,Needs WD Verification - no direct field-map row found in traced files,src/lib/supabase/client.ts: @supabase/ssr Supabase project createBrowserClient; src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser; src/components/vault/FileUploader.tsx: supabase.auth Supabase Auth getUser; src/components/vault/FileUploader.tsx: supabase.storage Dynamic bucket from folder prop .from(folder).upload; getPublicUrl; src/app/api/google-drive/upload/route.ts: supabase.auth Supabase Auth getSession; src/app/api/google-drive/download/route.ts: supabase.auth Supabase Auth getSession,EditBhoomiPropertyPage; FileUploader,EditBhoomiPropertyPage,0,Partially Implemented,"No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions. Static route-literal search found no reference outside the page file; dynamic navigation is possible, so linkage Needs WD Verification.",Strong Evidence,Yes,src/app/(dashboard)/bhoomi/[id]/edit/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/bhoomi/properties/route.ts; src/app/api/loans/route.ts; src/app/api/bhoomi/properties/[id]/route.ts; src/app/api/notifications/route.ts; src/app/api/notifications/[id]/route.ts; src/app/api/notifications/read-all/route.ts; src/app/api/family/route.ts; src/app/api/google-drive/upload/route.ts; src/app/api/google-drive/download/route.ts; src/lib/services/bhoomiService.ts; src/lib/services/loanService.ts; src/lib/services/incomeService.ts; src/lib/services/notificationService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; +8 more
/bhoomi/add,(dashboard),src/app/(dashboard)/bhoomi/add/page.tsx,src/app/(dashboard)/layout.tsx,AddBhoomiPropertyPage,Bhoomi / Property,src/components/vault/FileUploader.tsx,src/app/(dashboard)/bhoomi/add/page.tsx; src/components/vault/FileUploader.tsx; src/lib/vault.ts; src/lib/cloudDriveSync.ts; src/lib/supabase/client.ts; src/components/providers/ToastProvider.tsx; src/lib/localVaultEngine.ts; src/app/api/loans/route.ts; src/app/api/bhoomi/properties/route.ts; src/app/api/family/route.ts; src/app/api/google-drive/upload/route.ts; src/app/api/google-drive/download/route.ts; src/lib/services/loanService.ts; src/lib/services/incomeService.ts; src/lib/middleware/auth.middleware.ts; src/lib/middleware/error.middleware.ts; src/lib/middleware/standardResponse.ts; src/lib/services/bhoomiService.ts; src/lib/services/familyService.ts; src/lib/prisma.ts; src/lib/types/api.types.ts; src/lib/supabase/server.ts; src/lib/googleAuth.ts; src/lib/services/baseService.ts,/api/loans; /api/bhoomi/properties; /api/family; /api/google-drive/upload; /api/google-drive/download,src/app/api/loans/route.ts; src/app/api/bhoomi/properties/route.ts; src/app/api/family/route.ts; src/app/api/google-drive/upload/route.ts; src/app/api/google-drive/download/route.ts,None found in traced files,src/lib/services/loanService.ts; src/lib/services/incomeService.ts; src/lib/services/bhoomiService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts,users; loan_accounts; income_streams; property_assets; family_members,property_assets.address; property_assets.type; property_assets.ownershipType; property_assets.currentValue; property_assets.purchaseAmount; property_assets.purchaseDate; property_assets.linkedLoanId; property_assets.annualCosts; property_assets.rentalIncome; property_assets.vaultFileIds; property_assets.secretFieldId,src/lib/supabase/client.ts: @supabase/ssr Supabase project createBrowserClient; src/lib/supabase/server.ts: @supabase/ssr Supabase project createServerClient; src/lib/middleware/auth.middleware.ts: supabase.auth Supabase Auth getUser; src/components/vault/FileUploader.tsx: supabase.auth Supabase Auth getUser; src/components/vault/FileUploader.tsx: supabase.storage Dynamic bucket from folder prop .from(folder).upload; getPublicUrl; src/app/api/google-drive/upload/route.ts: supabase.auth Supabase Auth getSession; src/app/api/google-drive/download/route.ts: supabase.auth Supabase Auth getSession,AddBhoomiPropertyPage; FileUploader,AddBhoomiPropertyPage,0,Partially Implemented,"No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions. Static route-literal search found no reference outside the page file; dynamic navigation is possible, so linkage Needs WD Verification.",Strong Evidence,Yes,src/app/(dashboard)/bhoomi/add/page.tsx; src/app/(dashboard)/layout.tsx; src/app/api/loans/route.ts; src/app/api/bhoomi/properties/route.ts; src/app/api/family/route.ts; src/app/api/google-drive/upload/route.ts; src/app/api/google-drive/download/route.ts; src/lib/services/loanService.ts; src/lib/services/incomeService.ts; src/lib/services/bhoomiService.ts; src/lib/services/familyService.ts; src/lib/services/baseService.ts; audit-output/02-database-and-dependencies/FRONTEND_DATABASE_FIELD_MAP.csv; audit-output/02-database-and-dependencies/MODULE_DEPENDENCY_MATRIX.csv; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/01-repository-and-architecture/GOOGLE_AUTH_CODE_FLOW.md; audit-input/01-database-structure/schema.sql; audit-input/01-database-structure/database.types.ts; +4 more
/blog,(landing),src/app/(landing)/blog/page.tsx,src/app/(landing)/layout.tsx,BlogPage,Public Website / Landing,src/components/landing/Navbar.tsx; src/components/landing/Footer.tsx,src/app/(landing)/blog/page.tsx; src/components/landing/Navbar.tsx; src/components/landing/Footer.tsx; src/components/landing/ui/Button.tsx; src/context/landing/LanguageContext.tsx; src/lib/landing/cn.ts,None found in traced files,None found in traced files,src/context/landing/LanguageContext.tsx,None found in traced files,Needs WD Verification - no direct table evidence found for this route,Needs WD Verification - no direct field-map row found in traced files,None found in traced files,No distinct form component found in this route,No distinct display/list component found in this route,2,Implemented,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,Probable,Yes,src/app/(landing)/blog/page.tsx; src/app/(landing)/layout.tsx; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv
/careers,(landing),src/app/(landing)/careers/page.tsx,src/app/(landing)/layout.tsx,CareersPage,Public Website / Landing,src/components/landing/Navbar.tsx; src/components/landing/Footer.tsx,src/app/(landing)/careers/page.tsx; src/components/landing/Navbar.tsx; src/components/landing/Footer.tsx; src/components/landing/ui/Button.tsx; src/context/landing/LanguageContext.tsx; src/lib/landing/cn.ts,None found in traced files,None found in traced files,src/context/landing/LanguageContext.tsx,None found in traced files,Needs WD Verification - no direct table evidence found for this route,Needs WD Verification - no direct field-map row found in traced files,None found in traced files,No distinct form component found in this route,No distinct display/list component found in this route,2,Implemented,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,Probable,Yes,src/app/(landing)/careers/page.tsx; src/app/(landing)/layout.tsx; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv
/contact,(landing),src/app/(landing)/contact/page.tsx,src/app/(landing)/layout.tsx,ContactPage,Public Website / Landing,src/components/landing/Navbar.tsx; src/components/landing/Footer.tsx,src/app/(landing)/contact/page.tsx; src/components/landing/Navbar.tsx; src/components/landing/Footer.tsx; src/components/landing/ui/Button.tsx; src/context/landing/LanguageContext.tsx; src/lib/landing/cn.ts; src/app/api/contact/route.ts; src/lib/middleware/standardResponse.ts; src/lib/prisma.ts,/api/contact,src/app/api/contact/route.ts,src/context/landing/LanguageContext.tsx,None found in traced files,contact_messages,Needs WD Verification - no direct field-map row found in traced files,None found in traced files,ContactPage,No distinct display/list component found in this route,6,Implemented,No duplicate/old route risk identified from supplied source; Needs WD Verification before deletion decisions.,Strong Evidence,Yes,src/app/(landing)/contact/page.tsx; src/app/(landing)/layout.tsx; src/app/api/contact/route.ts; audit-output/01-repository-and-architecture/REPOSITORY_INVENTORY.md; audit-input/01-database-structure/schema.sql; audit-input/01-database-structure/database.types.ts; audit-output/03-prd-traceability/PRD_IMPLEMENTATION_TRACEABILITY.csv
