Module,Primary_Tables,Reads_From_Modules,Writes_For_Modules,Dashboard_Impact,Reminder_Impact,Score_or_Calculation_Impact,Document_Vault_Impact,Edit_Delete_Impact,Critical_FKs_or_Soft_Links,Source_Evidence,Confidence,Verification_Status
Sthapana / Foundation,users; family_members; education,Auth; Rin; Raksha,Most user-owned modules,High: profile/family data is read by shared navigation and downstream selectors,Medium: family/education dates may feed reminder logic,High: profile completeness and household context can affect dashboards; exact score formula unconfirmed,High: profile photo plus education certificates and linked family ownership,High: deleting users cascades broadly; deleting family sets some links null and cascades insurance_coverage,users <- 45 FKs; education.familyMemberId SET NULL; insurance_coverage.memberId CASCADE,foundation pages; /api/profile; /api/family; /api/education; schema.sql,Confirmed,Needs human verification of runtime behavior and ownership
Pehchaan,identity_records; identity_links; reminders; document_meta,Foundation family,Rajya; Doot; Vault,High: identity completeness is read by dashboard stores,High: expiry dates create/update reminders,"Probable: identity completeness contributes to dashboard scoring, but DB rajya_scores linkage is not used",High: vaultFileId and document_meta/cloud/local storage paths overlap,High: identity deletion cascades identity_links; document metadata is soft-linked,identity_links.identityId CASCADE; identity_records.vaultFileId soft link,Pehchaan pages; identityService; identity reminder routes,Confirmed,Needs human verification of runtime behavior and ownership
Kunji / Dwaar,credential_records (API); configured UI uses browser CredentialStore,Foundation contacts,Rajya; continuity workflows,High in client dashboards; DB-backed impact depends on which route family is authoritative,Probable: renewal fields exist only in client record shape for configured page,Probable: credential health is client-calculated,Low/Probable: no confirmed document_meta FK,High divergence risk: configured add flow is local-only while API table exists,credential_records.userId CASCADE; linkedMemberId has no exported FK,Dwaar add page; credentialStore; /api/credentials,Strong Evidence,Needs WD Verification
Kosh,income_streams,Foundation family; Khate,Rajya; Suchak; Vyaya; notifications,High: dashboard income/disposable-income summaries depend on it,Medium: notificationService reads income streams,High: monthly/net income calculations and affordability views depend on it,None confirmed,High divergence risk from two IncomeStore families and API-backed table,creditedAccountId SET NULL; familyMemberId SET NULL,Kosh pages; incomeService; notificationService,Confirmed,Needs human verification of runtime behavior and ownership
Vyaya,expense_entries; expense_categories; budget_plans,Khate; Foundation family,Rajya; Suchak; Leakage,High: spending and budget summaries depend on it,Medium: notificationService reads expense/budget data,"High: budget, category, disposable-income and leakage calculations",None confirmed,High divergence risk from duplicate routes/stores; accountId links are soft,user FKs CASCADE; accountId/paidFromAccountId have no exported FK,Vyaya pages; expense/budget services,Confirmed,Needs human verification of runtime behavior and ownership
Pravah / Khate,bank_accounts; balance_history; cash_wallets,Kosh; Vyaya,Rajya; Suchak; Leakage,High: balances and cash flow are dashboard inputs,Medium: notificationService reads bank balances,High: cash flow and idle-fund calculations,None confirmed,High: account delete cascades balance history and may null income credited account; several soft account links can orphan,balance_history CASCADE; income_streams.creditedAccountId SET NULL; subscription linkedBankAccountId soft,Khate pages; bankService; /api/bank,Confirmed,Needs human verification of runtime behavior and ownership
Beej,investment_holdings,Lakshya,Mitra; Succession; Rajya,Probable: asset totals are read by succession and nominee assets,Probable via maturityDate but no direct Beej UI/API,Probable: values may contribute to net worth; no active Beej implementation,None confirmed,Medium: linked goal is SET NULL; user delete cascades,linkedGoalId SET NULL; userId CASCADE,Prisma model; nominee/succession asset routes; Beej placeholder,Probable,Needs WD Verification
Raksha,insurance_policies; insurance_coverage; document_meta; reminders,Foundation family,Mitra; Succession; Rajya; Doot,High: protection status and policies feed dashboard/asset summaries,High: dueDate/maturityDate read by notificationService and reminder workflows,"High: coverage/protection score likely, exact DB formula unconfirmed",High: documentId and FileUploader paths,High: policy deletion cascades coverage; documentId/reminderId are soft links,insurance_coverage.policyId CASCADE; nomineeId and documentId no exported FK,Raksha pages; insuranceService; notificationService,Confirmed,Needs human verification of runtime behavior and ownership
Rin,loan_accounts; document_meta,Bhoomi; Foundation family; Khate,Rajya; education/property context,High: liabilities and EMI affect dashboard,High: notificationService reads loans,High: EMI/debt calculations and affordability depend on it,High: documentId plus local Vault,High: linkedPropertyId/documentId/coBorrowerId/paidFromAccountId are soft links,only userId has exported FK,Rin pages; loanService; notificationService,Confirmed,Needs human verification of runtime behavior and ownership
Bhoomi,property_assets,Rin,Mitra; Succession; Rajya,High: property values feed asset summaries,Probable: no direct property reminder service found,High: currentValue/rentalIncome/annualCosts support net-worth/yield calculations,High: vaultFileIds JSON plus FileUploader,High: linkedLoanId is a soft link; config says unimplemented despite CRUD,only userId has exported FK,Bhoomi pages; bhoomiService; succession/nominee assets,Confirmed,Needs human verification of runtime behavior and ownership
Kar,tax_records; gst_records; din_records,Foundation profile,Rajya; Doot,Medium: compliance summary exists; dashboard consumption not fully traced,High: due/expiry fields are candidates; direct service behavior varies,Medium: Kar summary/insights calculate compliance state,High: documentUrl plus FileUploader/local vault,Medium: user delete cascades; document URLs are soft references,userId CASCADE only,Kar pages and record APIs,Confirmed,Needs human verification of runtime behavior and ownership
Mitra,nominee_mapping; will_status,Foundation family; bank; insurance; property; investment,Succession; Rajya,Medium: succession readiness can affect dashboard indicators,Medium: notificationService reads will_status,Probable: readiness score; exact formula unconfirmed,Medium: proofDocLinked/location are not FK-backed document links,High: duplicate/overlap risk with succession tables; assetRef and nomineeId are soft,nominee_mapping.nomineeId -> family_members CASCADE; assetRef soft,Mitra pages; nomineeService; willService,Confirmed,Needs human verification of runtime behavior and ownership
Leakage,subscriptions; subscription_analytics,Vyaya; Khate,Rajya; Doot,High: recurring spend/leakage affects dashboard,High: notificationService reads subscription renewals,High: monthly/yearly spend and leakage score,None confirmed,High: three subscription UI entry points and customCategory/bank links have no exported FK,subscriptions.userId CASCADE; linkedBankAccountId soft,Leakage/Vyaya/subscriptions pages; subscription services,Strong Evidence,Needs WD Verification
Lakshya,goals,Beej,Rajya; Doot,Probable: goal status may feed dashboard,Medium: notificationService reads goals,High in intended model; UI/API implementation is absent,None confirmed,Medium: deleting a goal sets investment linkedGoalId null,investment_holdings.linkedGoalId SET NULL,Goal model; notificationService; Lakshya placeholder,Probable,Needs WD Verification
Sampatti,asset_inventory model; configured page uses browser store,None confirmed,Succession; Rajya,"Probable: succession assets route reads DB table, configured page does not write it",None confirmed,Probable net-worth impact; no server connection from page,None confirmed,High divergence: browser records and DB asset_inventory can disagree,asset_inventory.userId CASCADE; other link columns are soft,Sampatti page/store; succession assets route,Confirmed,Needs human verification of runtime behavior and ownership
Granthagaar / Vault,document_meta plus IndexedDB/OPFS and optional cloud storage,All upload-capable modules,All upload-capable modules,Medium: document completeness may affect module views,High where expiry metadata creates reminders,None confirmed,"Critical: this is the shared document surface, but multiple vault implementations exist",High: delete/version behavior differs by storage path and soft links,document_meta.userId CASCADE; linked entity/person fields mostly soft,FileUploader; documentService; vault.ts; /api/documents,Confirmed,Needs human verification of runtime behavior and ownership
Suchak,No confirmed dedicated table; browser module stores; bank API,Foundation; Pehchaan; Kosh; Vyaya; Khate,Read-only aggregation,Critical: module is an alternate dashboard,Displays browser notification state,High: client-derived summaries; no dedicated persisted score call found,Displays completeness only; no direct vault ownership,Source edits/deletes can leave browser state stale,No dedicated FK; reads browser stores and /api/bank,Suchak page; architecture module map,Strong Evidence,Needs WD Verification
Doot,Browser NotificationStore; intended notifications/reminders tables,All reminder-producing modules,Dashboard shell,High: module displays notification state,"Critical: module purpose, but configured page is browser-store based",None beyond reminder scheduling,Low/Medium: notification links may point to module/document routes,High: browser and database reminder state can diverge,reminders.linkedEntityId is soft; notifications.templateId is FK,Doot page; notificationStore; reminderService,Strong Evidence,Needs WD Verification
Mantri,No confirmed table or API,None confirmed,None confirmed,None confirmed; Coming Soon page,None confirmed,None confirmed,None confirmed,No persisted edit/delete path found,No FK identified,Mantri page; architecture module map,Confirmed,Needs human verification of runtime behavior and ownership
