Consolidated Bug ID,Source Bug ID,Source,Module,Route / Screen,Title,Description,Steps / Reproduction,Expected,Actual,Reported Severity,Consolidated Severity,Verification Status,Duplicate Status,Duplicate Cluster,Canonical Bug ID,Related Bugs,User Journey Impact,Downstream Impact,Technical Evidence,Technical Confidence,PRD Traceability,Recommended Next Action,Evidence Reference
CBR-PM-001,Bug 1,PM_VERIFIED_BUGS.csv,Authentication,/start; /reset-password; /api/auth/*,Google login restricted to test users (app unverified in Google Cloud),"Config-level, not code. Fix = complete Google OAuth verification / publish consent screen (or keep an explicit testers allow-list). Workaround IN USE: email/password signup works, so the app is still enterable -> P1, not P0. NB: a reviewer reading login=P0 strictly may escalate. Do NOT edit Google auth settings (ground rule 4); route via Jira.","Standing restriction hit every session: non-test Google accounts get Error 403 access_denied (report screenshot). Entire test effort has run on the registered test account (dummyuser@example.com, email/password) + Skip Verification BECAUSE of this gate. | Re-confirmed as the active operating constraint across 08-07 -> 11-07 sessions; Journey A step 1 records it still blocks NEW Google accounts (2026-07-12). Environmental/config (Google Cloud OAuth consent screen unverified / testers allow-list), not app code.",Expected behavior is the inverse of the reported defect: Google login restricted to test users (app unverified in Google Cloud),"Standing restriction hit every session: non-test Google accounts get Error 403 access_denied (report screenshot). Entire test effort has run on the registered test account (dummyuser@example.com, email/password) + Skip Verification BECAUSE of this gate. | Re-confirmed as the active operating constraint across 08-07 -> 11-07 sessions; Journey A step 1 records it still blocks NEW Google accounts (2026-07-12). Environmental/config (Google Cloud OAuth consent screen unverified / testers allow-list), not app code.",High,P1,Confirmed,No duplicate identified in source,None assigned,PM-001,None stated,C - Insurance and nominee step 2 (Pass),Auth/config layer (affects any Google-signin entry point),PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M01; security/auth is implicit and partly outside concise PRD,"Assign a WD owner, reproduce against the intended non-production environment, fix before release, and attach journey-level regression evidence.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 1
CBR-PM-002,Bug 2,PM_VERIFIED_BUGS.csv,Authentication,/start; /reset-password; /api/auth/*,Password reset link errors; auto-logs-in without resetting,"REPORTED SYMPTOMS NOT REPRODUCED on current production: no 'invalid token' error (token is accepted), and no auto-login/redirect-to-/rajya (the minted session is never consumed at the marketing landing). SECURITY FRAMING CORRECTED: my earlier 'possible auth-bypass / P0' concern does NOT hold — a clean run shows the recovery link does not establish a session on the landing page (no Supabase client there to consume the fragment). Residual security note is minor: a valid bearer JWT is briefly exposed in the URL fragment (history/referrer) — hygiene, not account takeover. THE REAL, REPRODUCIBLE DEFECT is that email password reset is broken end-to-end because the link lands on the marketing root instead of /reset-password — tracked and confirmed as NB-018 (upgraded to P1). Kept at P1 as a cluster member with NB-018 (one fix). Do NOT edit Supabase/auth config (ground rule 4); route via Jira.","Run 1 (12-07): send-reset OK (POST /api/auth/send-reset 200). Opened recovery link — token ACCEPTED (Supabase minted a valid session), redirect landed on www.svarajya.com root. Inconclusive on end-state: navigated away too quickly and consumed the single-use token. | Run 2 (12-07, fresh link, clean): followed the link WITHOUT navigating away. (a) Token ACCEPTED — valid session JWT minted for the account (NOT the report's 'Invalid token' error). (b) redirect_to (svarajya.vercel.app/reset-password) IGNORED -> landed on the www.svarajya.com MARKETING landing page (Home/Features/Story/Login), not /reset-password and not /rajya. (c) Tokens sit in the URL fragment but are NEVER consumed: network shows NO token-exchange call, localStorage has no auth keys, UI is logged-out -> NO auto-login. (d) Password never resettable (no reset screen reached).",Expected behavior is the inverse of the reported defect: Password reset link errors; auto-logs-in without resetting,"Run 1 (12-07): send-reset OK (POST /api/auth/send-reset 200). Opened recovery link — token ACCEPTED (Supabase minted a valid session), redirect landed on www.svarajya.com root. Inconclusive on end-state: navigated away too quickly and consumed the single-use token. | Run 2 (12-07, fresh link, clean): followed the link WITHOUT navigating away. (a) Token ACCEPTED — valid session JWT minted for the account (NOT the report's 'Invalid token' error). (b) redirect_to (svarajya.vercel.app/reset-password) IGNORED -> landed on the www.svarajya.com MARKETING landing page (Home/Features/Story/Login), not /reset-password and not /rajya. (c) Tokens sit in the URL fragment but are NEVER consumed: network shows NO token-exchange call, localStorage has no auth keys, UI is logged-out -> NO auto-login. (d) Password never resettable (no reset screen reached).",High,P1,Behaviour changed,Duplicate/related cluster member,AUTH-RESET,NB-018,Same cluster as NB-018 (the live reset-broken defect),B - Income and expenses step 2 (Partial); D - Loan and cash flow step 2 (Partial); E - Documents step 3 (Fail); F - Subscription and reminders step 2 (Fail),Auth / account recovery; Supabase Site-URL config (NB-018); production domain www.svarajya.com (marketing site),PM live observations plus architecture/module maps; root cause Needs WD Verification.,Strong Evidence,PRD-M01; security/auth is implicit and partly outside concise PRD,"Update the canonical defect to the current behavior, preserve the old observation as history, fix the active failure, and rerun regression tests.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 2
CBR-PM-003,Bug 3,PM_VERIFIED_BUGS.csv,Onboarding,/onboarding/*,Hide button spacing off,Onboarding step-0 Hide button reachable only via profile-EDIT wizard replay (NB-003) ending at broken OTP (NB-001) — access path itself defective. Retest after wizard/OTP fixes.,Not supplied; reproduce from the original PM report.,Expected behavior is the inverse of the reported defect: Hide button spacing off,Blocked — cannot test,Low,P3,Blocked — cannot test,No duplicate identified in source,None assigned,PM-003,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Unconfirmed,PRD-M01; security/auth is implicit and partly outside concise PRD,"Unblock the prerequisite, reproduce twice in an isolated test environment, then triage severity and ownership.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 3
CBR-PM-004,Bug 4,PM_VERIFIED_BUGS.csv,Onboarding,/onboarding/*,Future DOB shows wrong error message,Future-DOB message requires wizard DOB step; same defective access path (NB-003/NB-001). Retest after fixes.,Not supplied; reproduce from the original PM report.,Expected behavior is the inverse of the reported defect: Future DOB shows wrong error message,Blocked — cannot test,Medium,P2,Blocked — cannot test,No duplicate identified in source,None assigned,PM-004,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Unconfirmed,PRD-M01; security/auth is implicit and partly outside concise PRD,"Unblock the prerequisite, reproduce twice in an isolated test environment, then triage severity and ownership.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 4
CBR-PM-005,Bug 5,PM_VERIFIED_BUGS.csv,Onboarding,/onboarding/*,Mobile OTP was static '1234' (dev mode),"Report described dev-mode static OTP; current build fails earlier at the send step. Verification journey still broken, differently.","Send OTP now fails with Firebase auth/billing-not-enabled (tester-reproduced 08-07, NB-001); static-1234 path unreachable. | Standing state across 08-07 to 11-07 sessions; no dev-mode code observable.",Expected behavior is the inverse of the reported defect: Mobile OTP was static '1234' (dev mode),"Send OTP now fails with Firebase auth/billing-not-enabled (tester-reproduced 08-07, NB-001); static-1234 path unreachable. | Standing state across 08-07 to 11-07 sessions; no dev-mode code observable.",Medium,P1,Behaviour changed,Duplicate/related cluster member,MOBILE-OTP,NB-001,None stated,No direct DA journey reference,Superseded by NB-001.,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Strong Evidence,PRD-M01; security/auth is implicit and partly outside concise PRD,"Update the canonical defect to the current behavior, preserve the old observation as history, fix the active failure, and rerun regression tests.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 5
CBR-PM-006,Bug 6,PM_VERIFIED_BUGS.csv,Sthapana — Family,/foundation/family,Duplicate save buttons in add-member form,Two dated observations across two days.,"Add-member form open: BOTH Link to Profile and Save & Continue (1/5 members) rendered together (10-07). | Same dual-button state observed and logged 09-07 (prior session, documented).",Expected behavior is the inverse of the reported defect: Duplicate save buttons in add-member form,"Add-member form open: BOTH Link to Profile and Save & Continue (1/5 members) rendered together (10-07). | Same dual-button state observed and logged 09-07 (prior session, documented).",Low,P3,Confirmed,Canonical,DUPLICATE-RESPONSIVE-DOM,PM-006,None stated,No direct DA journey reference,Root cause per DUP-4: duplicate desktop+mobile DOM layouts.,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M01,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 6
CBR-PM-007,Bug 7,PM_VERIFIED_BUGS.csv,Sthapana — Family,/foundation/family,Duplicate buttons after adding member,Duplicate buttons after adding member,"Tree view with 1 member: BOTH Forge New Link (Max 5) and Save & Continue (1/5 members) rendered together (10-07). | Same state observed and logged 09-07 (prior session, documented).",Expected behavior is the inverse of the reported defect: Duplicate buttons after adding member,"Tree view with 1 member: BOTH Forge New Link (Max 5) and Save & Continue (1/5 members) rendered together (10-07). | Same state observed and logged 09-07 (prior session, documented).",Low,P3,Confirmed,Duplicate/related cluster member,DUPLICATE-RESPONSIVE-DOM,PM-006,None stated,No direct DA journey reference,DUP-4.,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M01,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 7
CBR-PM-008,Bug 8,PM_VERIFIED_BUGS.csv,Sthapana — Family,/foundation/family,Email accepts only @gmail.com,INTEGRITY NOTE: previous Behaviour-changed verdict reversed with new evidence; validation is submit-time only (itself a UX note: no inline feedback until submit).,REVERSAL: tester attempted family member with dummyuser@example.com -> Link to Profile blocked with Only @gmail.com email addresses are allowed (11-07). | Earlier change/blur events produced no message — validation fires at SUBMIT (the exact caveat recorded on 10-07). Original verdict corrected.,Expected behavior is the inverse of the reported defect: Email accepts only @gmail.com,REVERSAL: tester attempted family member with dummyuser@example.com -> Link to Profile blocked with Only @gmail.com email addresses are allowed (11-07). | Earlier change/blur events produced no message — validation fires at SUBMIT (the exact caveat recorded on 10-07). Original verdict corrected.,Medium,P2,Confirmed,No duplicate identified in source,None assigned,PM-008,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M01,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 8
CBR-PM-009,Bug 9,PM_VERIFIED_BUGS.csv,Sthapana — Family,/foundation/family,Duplicate/already-registered emails accepted,"Duplicate-email scenario currently unconstructible: gmail-only gate (Bug 8) blocks the registered login email, and NB-002 loses stored member emails so no in-system duplicate exists to collide with. Retest after Bug 8/NB-002 fixes.",Not supplied; reproduce from the original PM report.,Expected behavior is the inverse of the reported defect: Duplicate/already-registered emails accepted,Blocked — cannot test,Medium,P2,Blocked — cannot test,No duplicate identified in source,None assigned,PM-009,None stated,No direct DA journey reference,Module-local impact; downstream effect Needs WD Verification,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Unconfirmed,PRD-M01,"Unblock the prerequisite, reproduce twice in an isolated test environment, then triage severity and ownership.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 9
CBR-PM-010,Bug 10,PM_VERIFIED_BUGS.csv,Sthapana — Education,/foundation/education,'Add Another' and 'Save & Continue' shown together,Two dated observations.,"Both Add Another Qualification and Save & Continue to Dashboard rendered together (11-07, 1 qualification present). | Same dual-button state observed and logged 09-07 after qualification save.",Expected behavior is the inverse of the reported defect: 'Add Another' and 'Save & Continue' shown together,"Both Add Another Qualification and Save & Continue to Dashboard rendered together (11-07, 1 qualification present). | Same dual-button state observed and logged 09-07 after qualification save.",Low,P3,Confirmed,Duplicate/related cluster member,DUPLICATE-RESPONSIVE-DOM,PM-006,None stated,No direct DA journey reference,DUP-4 (duplicate DOM layouts).,PM live observations plus architecture/module maps; root cause Needs WD Verification.,Confirmed,PRD-M01,"Confirm ownership, reproduce with dummy data, implement the smallest evidence-backed fix, and add focused regression coverage.",audit-input/03-bug-and-evidence/PM_VERIFIED_BUGS.csv; Bug 10
